Municipio,Total
Jamapa,Jamapa
Villa Aldama,Villa Aldama
Soledad Atzompa ,Soledad Atzompa 
Tatahuicapan de Juárez,Tatahuicapan de Juárez
Zentla,Zentla
Ixhuacán de los Reyes,Ixhuacán de los Reyes
Chicontepec,Chicontepec
Fortín,Fortín
Manlio Fabio Altamirano,Manlio Fabio Altamirano
Ixhuatlán del Sureste,Ixhuatlán del Sureste
Texhuacán ,Texhuacán 
Tempoal,Tempoal
Tequila,Tequila
Jalacingo,Jalacingo
Tatatila ,Tatatila 
Tlaquilpa,Tlaquilpa
Zongolica,Zongolica
Agua Dulce,Agua Dulce
Mecatlán ,Mecatlán 
Zaragoza,Zaragoza
Zozocolco de Hidalgo,Zozocolco de Hidalgo
La Perla,La Perla
Totutla,Totutla
Jilotepec,Jilotepec
Tecolutla,Tecolutla
Jesús Carranza,Jesús Carranza
Orizaba,Orizaba
Tancoco,Tancoco
Ozuluama de Mascareñas,Ozuluama de Mascareñas
Miahuatlán ,Miahuatlán 
Oluta,Oluta
Tamalín,Tamalín
Rafael Delgado,Rafael Delgado
Tantoyuca,Tantoyuca
Filomeno Mata,Filomeno Mata
Zacualpan,Zacualpan
Total estatal,Total estatal
Paso del Macho,Paso del Macho
Emiliano Zapata,Emiliano Zapata
Huayacocotla,Huayacocotla
Álamo Temapache,Álamo Temapache
Tlalnelhuayocan,Tlalnelhuayocan
Tamiahua,Tamiahua
Santiago Tuxtla,Santiago Tuxtla
Ixhuatlán de Madero,Ixhuatlán de Madero
Magdalena ,Magdalena 
Las Minas ,Las Minas 
Tlacolulan,Tlacolulan
Tlachichilco,Tlachichilco
Ursulo Galván,Ursulo Galván
Nautla,Nautla
San Andrés Tenejapan ,San Andrés Tenejapan 
Mariano Escobedo,Mariano Escobedo
Carlos A. Carrillo,Carlos A. Carrillo
Isla,Isla
Huiloapan de Cuauhtémoc,Huiloapan de Cuauhtémoc
Juan Rodríguez Clara,Juan Rodríguez Clara
Tomatlán,Tomatlán
Otatitlán,Otatitlán
Los Reyes ,Los Reyes 
Tierra Blanca,Tierra Blanca
Playa Vicente,Playa Vicente
San Andrés Tuxtla,San Andrés Tuxtla
Tuxpan,Tuxpan
Paso de Ovejas,Paso de Ovejas
Chinameca,Chinameca
Perote,Perote
Sochiapa ,Sochiapa 
Huatusco,Huatusco
Rafael Lucio,Rafael Lucio
Tlacojalpan,Tlacojalpan
Ixtaczoquitlán,Ixtaczoquitlán
Xico,Xico
Las Choapas,Las Choapas
Tlacotepec de Mejía ,Tlacotepec de Mejía 
Misantla,Misantla
Platón Sánchez,Platón Sánchez
Soteapan,Soteapan
Castillo de Teayo,Castillo de Teayo
Tezonapa,Tezonapa
San Rafael,San Rafael
Tihuatlán,Tihuatlán
Ixhuatlán del Café,Ixhuatlán del Café
El Higo,El Higo
Chontla,Chontla
Naolinco,Naolinco
Jalcomulco,Jalcomulco
Xalapa,Xalapa
Soledad de Doblado,Soledad de Doblado
Tenampa,Tenampa
Oteapan,Oteapan
Tlapacoyan,Tlapacoyan
Ixcatepec,Ixcatepec
Jáltipan,Jáltipan
Chocamán,Chocamán
Veracruz,Veracruz
Ignacio de la Llave,Ignacio de la Llave
Tenochtitlán ,Tenochtitlán 
Omealca,Omealca
Nanchital de Lázaro Cárdenas del Río,Nanchital de Lázaro Cárdenas del Río
Uxpanapa,Uxpanapa
Martínez de la Torre,Martínez de la Torre
Juchique de Ferrer,Juchique de Ferrer
Poza Rica de Hidalgo,Poza Rica de Hidalgo
Sayula de Alemán,Sayula de Alemán
Espinal,Espinal
Ilamatlán ,Ilamatlán 
Soconusco,Soconusco
Yecuatla,Yecuatla
Medellín de Bravo,Medellín de Bravo
Mixtla de Altamirano ,Mixtla de Altamirano 
Pánuco,Pánuco
Río Blanco,Río Blanco
Saltabarranca,Saltabarranca
Minatitlán,Minatitlán
Xoxocotla ,Xoxocotla 
Papantla,Papantla
Tantima,Tantima
Teocelo,Teocelo
José Azueta,José Azueta
Chumatlán ,Chumatlán 
Tepetzintla,Tepetzintla
Tlacotalpan,Tlacotalpan
Naranjal ,Naranjal 
Nogales,Nogales
Hueyapan de Ocampo,Hueyapan de Ocampo
Ixmatlahuacan,Ixmatlahuacan
Vega de Alatorre,Vega de Alatorre
Tepatlaxco,Tepatlaxco
Landero y Coss ,Landero y Coss 
Chinampa de Gorostiza,Chinampa de Gorostiza
Pajapan,Pajapan
Pueblo Viejo,Pueblo Viejo
Tlalixcoyan,Tlalixcoyan
San Juan Evangelista,San Juan Evangelista
Ixhuatlancillo,Ixhuatlancillo
Maltrata,Maltrata
Moloacán,Moloacán
Yanga,Yanga
Santiago Sochiapan,Santiago Sochiapan
Mecayapan ,Mecayapan 
Tonayán ,Tonayán 
Tepetlán,Tepetlán
Tampico Alto,Tampico Alto
Las Vigas de Ramírez,Las Vigas de Ramírez
Tehuipango ,Tehuipango 
Texistepec,Texistepec
Chiconquiaco,Chiconquiaco
Tlilapan ,Tlilapan 
Hidalgotitlán,Hidalgotitlán
Tuxtilla ,Tuxtilla 
Lerdo de Tejada,Lerdo de Tejada
Tres Valles,Tres Valles
Puente Nacional,Puente Nacional
Texcatepec ,Texcatepec 
Gutiérrez Zamora,Gutiérrez Zamora
Zontecomatlán de López y Fuentes,Zontecomatlán de López y Fuentes
