Municipio,Porcentaje de mujeres
Jamapa,51.3115343154869
Villa Aldama,51.0646813960935
Soledad Atzompa ,51.1717796403288
Tatahuicapan de Juárez,52.2533900558362
Zentla,50.0198712344011
Ixhuacán de los Reyes,50.6718187406692
Chicontepec,51.3275650785399
Fortín,52.9289459410595
Manlio Fabio Altamirano,50.9281712517769
Ixhuatlán del Sureste,50.9317162529215
Texhuacán ,52.5739910313901
Tempoal,50.9823296907696
Tequila,50.645536315242
Jalacingo,51.6091806641877
Tatatila ,48.8329746730674
Tlaquilpa,53.2207235598134
Zongolica,51.6634094341299
Agua Dulce,52.24015962271
Mecatlán ,50.8086569263224
Zaragoza,52.6262711152198
Zozocolco de Hidalgo,51.666207656293
La Perla,51.4579941963338
Totutla,50.4849857698786
Jilotepec,51.6731986735002
Tecolutla,50.7066921917641
Jesús Carranza,50.6415649978965
Orizaba,53.9380753681544
Tancoco,51.9413287316652
Ozuluama de Mascareñas,48.9716997714888
Miahuatlán ,50.2995248915513
Oluta,51.9703999530158
Tamalín,49.9527125784541
Rafael Delgado,51.075558502922
Tantoyuca,51.847257375524
Filomeno Mata,51.540747692789
Zacualpan,52.2981732469063
Total estatal,51.9784674357919
Paso del Macho,51.0346773687841
Emiliano Zapata,51.8511153481735
Huayacocotla,51.977427050835
Álamo Temapache,50.8268854292906
Tlalnelhuayocan,51.2561025223759
Tamiahua,49.8128024837914
Santiago Tuxtla,52.5199264255058
Ixhuatlán de Madero,51.3671413958612
Magdalena ,51.7732646256441
Las Minas ,50.4771642808453
Tlacolulan,50.783055198973
Tlachichilco,51.3119266055046
Ursulo Galván,51.9287636641526
Nautla,50.1480750246792
San Andrés Tenejapan ,51.4996809189534
Mariano Escobedo,52.107576933023
Carlos A. Carrillo,52.5581793292266
Isla,51.6083818067139
Huiloapan de Cuauhtémoc,52.5983820101467
Juan Rodríguez Clara,51.2862616310892
Tomatlán,50.8406280394609
Otatitlán,51.5307025305256
Los Reyes ,50.9036144578313
Tierra Blanca,52.1359385786908
Playa Vicente,52.0838101050169
San Andrés Tuxtla,52.6029994828478
Tuxpan,52.0084087968952
Paso de Ovejas,50.568147838048
Chinameca,51.7183496775333
Perote,50.5437028618659
Sochiapa ,50.1656050955414
Huatusco,52.2530040053405
Rafael Lucio,51.7679491789524
Tlacojalpan,50.5680552461573
Ixtaczoquitlán,52.2147451489109
Xico,51.4095348661131
Las Choapas,51.4689195855945
Tlacotepec de Mejía ,50.2801120448179
Misantla,51.2933197487873
Platón Sánchez,51.8805738658395
Soteapan,51.9238039842955
Castillo de Teayo,50.6775874906925
Tezonapa,50.8388800264041
San Rafael,50.9175974432473
Tihuatlán,51.8398291741259
Ixhuatlán del Café,50.4582396679924
El Higo,50.3401711163798
Chontla,51.1490381016543
Naolinco,51.2765491569958
Jalcomulco,49.8021369212505
Xalapa,53.5708071749797
Soledad de Doblado,50.6861002488446
Tenampa,49.9844913151365
Oteapan,52.499274871894
Tlapacoyan,51.7767241800675
Ixcatepec,50.8845625656353
Jáltipan,52.9545630867103
Chocamán,50.6790153078363
Veracruz,52.6252081243855
Ignacio de la Llave,51.8366111951589
Tenochtitlán ,50.7539682539683
Omealca,51.962310183822
Nanchital de Lázaro Cárdenas del Río,52.4564346605498
Uxpanapa,50.0178045385387
Martínez de la Torre,52.0626228845482
Juchique de Ferrer,50.341988179826
Poza Rica de Hidalgo,53.4437893558961
Sayula de Alemán,51.7623456790123
Espinal,51.4685054043981
Ilamatlán ,52.5304627345444
Soconusco,52.1781102932304
Yecuatla,50.5310129406515
Medellín de Bravo,52.0125627612865
Mixtla de Altamirano ,50.6639175257732
Pánuco,50.9081457607735
Río Blanco,53.7935159708099
Saltabarranca,51.8119490695397
Minatitlán,52.4859092667293
Xoxocotla ,49.8135593220339
Papantla,51.7366018385342
Tantima,49.337002752064
Teocelo,51.5421359910362
José Azueta,50.9621735875644
Chumatlán ,52.7445109780439
Tepetzintla,50.7763868937684
Tlacotalpan,51.7522096449062
Naranjal ,51.6254876462939
Nogales,52.3637240713941
Hueyapan de Ocampo,51.5214782817375
Ixmatlahuacan,51.3455328310011
Vega de Alatorre,51.6333399326866
Tepatlaxco,49.2436974789916
Landero y Coss ,51.0045366169799
Chinampa de Gorostiza,51.3173248172941
Pajapan,50.806049526342
Pueblo Viejo,50.3427791880364
Tlalixcoyan,51.3692287339595
San Juan Evangelista,50.9730011338911
Ixhuatlancillo,52.7056237406118
Maltrata,52.1034539204452
Moloacán,51.7795428363548
Yanga,52.9382191933862
Santiago Sochiapan,51.6536518144235
Mecayapan ,51.9785222364889
Tonayán ,51.5806715806716
Tepetlán,48.8888888888889
Tampico Alto,48.7328085805726
Las Vigas de Ramírez,50.9261083743842
Tehuipango ,52.0817893956747
Texistepec,50.8105395232121
Chiconquiaco,50.0756429652042
Tlilapan ,51.4599855803893
Hidalgotitlán,49.9425444596443
Tuxtilla ,50.6643046944198
Lerdo de Tejada,53.0199236521466
Tres Valles,51.7564142469652
Puente Nacional,51.1850152905199
Texcatepec ,51.2749445676275
Gutiérrez Zamora,53.5478513597675
Zontecomatlán de López y Fuentes,51.1472275334608
