Municipio,Defunciones Generales
Acanceh,124.0
Dzidzantún,64.0
Chankom,22.0
Tixmehuac,27.0
Chichimilá,44.0
Progreso,369.0
Panabá,51.0
Santa Elena,19.0
Tahmek,33.0
Sucilá,38.0
Sudzal,8.0
Tinum,86.0
Sacalum,32.0
Oxkutzcab,202.0
Timucuy,33.0
Buctzotz,49.0
Celestún,45.0
Dzoncauich,25.0
Kinchil,38.0
Dzán,46.0
Telchac Puerto,16.0
Espita,74.0
Chapab,30.0
Dzitás,22.0
Abalá,54.0
Tahdziú,32.0
Dzilam González,46.0
Tekax,212.0
Chocholá,33.0
Total estatal,13483.0
Kopomá,18.0
Hunucmá,189.0
Bokobá ,12.0
Sanahcat,9.0
Peto,155.0
Sinanché,20.0
Chicxulub Pueblo,39.0
Chemax,193.0
Tetiz,28.0
Tekal de Venegas,16.0
Yaxcabá,93.0
Huhí,38.0
Dzemul,28.0
Río Lagartos,23.0
Temozón,69.0
Hoctún,51.0
Tekantó,33.0
Cacalchén,52.0
Tunkás,24.0
Temax,65.0
Ixil,32.0
Chumayel,29.0
Teabo,30.0
Umán,319.0
Tekit,47.0
Tizimín,471.0
Halachó,143.0
Samahil,32.0
Kaua,11.0
Tecoh,111.0
Valladolid,468.0
Ucú,26.0
Chacsinkín,13.0
Mama,20.0
Ticul,236.0
Mocochá,19.0
Tixcacalcupul,45.0
Cansahcab,43.0
Kanasín,473.0
Xocchel,31.0
Mayapán,14.0
Muxupip,16.0
Suma,19.0
Tekom,23.0
Tixkokob,134.0
Hocabá,42.0
Conkal,82.0
Seyé,71.0
Uayma,36.0
Cuncunul,15.0
Mérida,5848.0
Tepakán,23.0
Homún,49.0
Muna,101.0
Dzilam de Bravo,10.0
Cuzamá,35.0
Motul,263.0
Kantunil,46.0
Baca,50.0
Opichén,45.0
Tzucacab,89.0
Telchac Pueblo,31.0
Teya,31.0
Cantamayec,18.0
Maní,47.0
Tixpéhual,54.0
Cenotillo,31.0
Akil,61.0
Chikindzonot,27.0
Sotuta,57.0
Yobaín,14.0
Quintana Roo,5.0
Yaxkukul,22.0
Calotmul ,33.0
Maxcanú,165.0
San Felipe,14.0
Izamal,201.0
