Municipio,Edad mediana
Acanceh,30.0
Dzidzantún,35.0
Chankom,26.0
Tixmehuac,25.0
Chichimilá,23.0
Progreso,30.0
Panabá,30.0
Santa Elena,27.0
Tahmek,34.0
Sucilá,31.0
Sudzal,27.0
Tinum,27.0
Sacalum,28.0
Oxkutzcab,26.0
Timucuy,29.0
Buctzotz,30.0
Celestún,27.0
Dzoncauich,33.0
Kinchil,27.0
Dzán,27.0
Telchac Puerto,31.0
Espita,25.0
Chapab,29.0
Dzitás,28.0
Abalá,29.0
Tahdziú,19.5
Dzilam González,34.0
Tekax,27.0
Chocholá,31.0
Total estatal,30.0
Kopomá,33.0
Hunucmá,28.0
Bokobá ,33.0
Sanahcat,31.0
Peto,25.0
Sinanché,34.0
Chicxulub Pueblo,31.0
Chemax,22.0
Tetiz,28.0
Tekal de Venegas,30.0
Yaxcabá,25.0
Huhí,30.0
Dzemul,34.0
Río Lagartos,30.0
Temozón,26.0
Hoctún,30.0
Tekantó,32.0
Cacalchén,31.0
Tunkás,31.0
Temax,30.0
Ixil,30.0
Chumayel,29.0
Teabo,25.0
Umán,28.0
Tekit,28.0
Tizimín,27.0
Halachó,29.0
Samahil,28.0
Kaua,25.0
Tecoh,29.0
Valladolid,27.0
Ucú,30.0
Chacsinkín,25.0
Mama,28.0
Ticul,29.0
Mocochá,33.0
Tixcacalcupul,23.0
Cansahcab,35.0
Kanasín,28.0
Xocchel,28.0
Mayapán,22.0
Muxupip,32.0
Suma,35.0
Tekom,25.0
Tixkokob,32.0
Hocabá,28.0
Conkal,32.0
Seyé,30.0
Uayma,26.0
Cuncunul,27.0
Mérida,33.0
Tepakán,32.0
Homún,29.0
Muna,30.0
Dzilam de Bravo,30.0
Cuzamá,29.0
Motul,30.0
Kantunil,28.0
Baca,34.0
Opichén,28.0
Tzucacab,26.0
Telchac Pueblo,35.0
Teya,30.0
Cantamayec,24.0
Maní,29.0
Tixpéhual,34.0
Cenotillo,34.0
Akil,26.0
Chikindzonot,24.0
Sotuta,27.0
Yobaín,33.0
Quintana Roo,32.0
Yaxkukul,31.0
Calotmul ,32.0
Maxcanú,28.0
San Felipe,31.0
Izamal,30.0
