Municipio,Nacimientos
Acanceh,230.0
Dzidzantún,95.0
Chankom,78.0
Tixmehuac,100.0
Chichimilá,197.0
Progreso,873.0
Panabá,95.0
Santa Elena,68.0
Tahmek,25.0
Sucilá,69.0
Sudzal,32.0
Tinum,220.0
Sacalum,66.0
Oxkutzcab,618.0
Timucuy,125.0
Buctzotz,139.0
Celestún,125.0
Dzoncauich,38.0
Kinchil,132.0
Dzán,108.0
Telchac Puerto,29.0
Espita,295.0
Chapab,55.0
Dzitás,86.0
Abalá,105.0
Tahdziú,225.0
Dzilam González,82.0
Tekax,824.0
Chocholá,76.0
Total estatal,33336.0
Kopomá,35.0
Hunucmá,600.0
Bokobá ,26.0
Sanahcat,33.0
Peto,550.0
Sinanché,43.0
Chicxulub Pueblo,61.0
Chemax,948.0
Tetiz,33.0
Tekal de Venegas,49.0
Yaxcabá,348.0
Huhí,71.0
Dzemul,35.0
Río Lagartos,57.0
Temozón,364.0
Hoctún,94.0
Tekantó,49.0
Cacalchén,109.0
Tunkás,55.0
Temax,113.0
Ixil,69.0
Chumayel,50.0
Teabo,139.0
Umán,1089.0
Tekit,173.0
Tizimín,1390.0
Halachó,358.0
Samahil,94.0
Kaua,66.0
Tecoh,246.0
Valladolid,1571.0
Ucú,45.0
Chacsinkín,69.0
Mama,64.0
Ticul,651.0
Mocochá,44.0
Tixcacalcupul,191.0
Cansahcab,54.0
Kanasín,1715.0
Xocchel,63.0
Mayapán,66.0
Muxupip,45.0
Suma,24.0
Tekom,70.0
Tixkokob,246.0
Hocabá,107.0
Conkal,174.0
Seyé,171.0
Uayma,70.0
Cuncunul,37.0
Mérida,11794.0
Tepakán,40.0
Homún,133.0
Muna,227.0
Dzilam de Bravo,48.0
Cuzamá,89.0
Motul,576.0
Kantunil,99.0
Baca,72.0
Opichén,116.0
Tzucacab,304.0
Telchac Pueblo,40.0
Teya,24.0
Cantamayec,71.0
Maní,99.0
Tixpéhual,62.0
Cenotillo,60.0
Akil,241.0
Chikindzonot,96.0
Sotuta,152.0
Yobaín,39.0
Quintana Roo,18.0
Yaxkukul,29.0
Calotmul ,58.0
Maxcanú,356.0
San Felipe,22.0
Izamal,424.0
