Municipio,Población de 5 años y más hablante de lengua indígena
Acanceh,4904.0
Dzidzantún,659.0
Chankom,3735.0
Tixmehuac,3823.0
Chichimilá,6424.0
Progreso,2952.0
Panabá,1787.0
Santa Elena,2893.0
Tahmek,1985.0
Sucilá,1723.0
Sudzal,908.0
Tinum,6849.0
Sacalum,2558.0
Oxkutzcab,16870.0
Timucuy,5454.0
Buctzotz,2270.0
Celestún,443.0
Dzoncauich,1470.0
Kinchil,2132.0
Dzán,3246.0
Telchac Puerto,182.0
Espita,8504.0
Chapab,2053.0
Dzitás,1699.0
Abalá,3725.0
Tahdziú,3719.0
Dzilam González,970.0
Tekax,23156.0
Chocholá,1310.0
Total estatal,537516.0
Kopomá,1082.0
Hunucmá,6849.0
Bokobá ,764.0
Sanahcat,793.0
Peto,13982.0
Sinanché,829.0
Chicxulub Pueblo,471.0
Chemax,26576.0
Tetiz,1749.0
Tekal de Venegas,1344.0
Yaxcabá,9881.0
Huhí,2148.0
Dzemul,763.0
Río Lagartos,399.0
Temozón,11030.0
Hoctún,2372.0
Tekantó,1299.0
Cacalchén,1612.0
Tunkás,1649.0
Temax,1815.0
Ixil,532.0
Chumayel,2561.0
Teabo,4563.0
Umán,10833.0
Tekit,4666.0
Tizimín,27969.0
Halachó,11050.0
Samahil,1925.0
Kaua,2036.0
Tecoh,7506.0
Valladolid,37342.0
Ucú,807.0
Chacsinkín,2422.0
Mama,1984.0
Ticul,15220.0
Mocochá,385.0
Tixcacalcupul,5537.0
Cansahcab,1100.0
Kanasín,13527.0
Xocchel,1581.0
Mayapán,2785.0
Muxupip,1038.0
Suma,609.0
Tekom,2548.0
Tixkokob,2456.0
Hocabá,3551.0
Conkal,1462.0
Seyé,2313.0
Uayma,3054.0
Cuncunul,1169.0
Mérida,74709.0
Tepakán,1383.0
Homún,3744.0
Muna,5543.0
Dzilam de Bravo,106.0
Cuzamá,2705.0
Motul,9064.0
Kantunil,2124.0
Baca,971.0
Opichén,4367.0
Tzucacab,7231.0
Telchac Pueblo,461.0
Teya,1098.0
Cantamayec,1919.0
Maní,3976.0
Tixpéhual,1426.0
Cenotillo,1260.0
Akil,5859.0
Chikindzonot,3619.0
Sotuta,4285.0
Yobaín,420.0
Quintana Roo,381.0
Yaxkukul,307.0
Calotmul ,2261.0
Maxcanú,8695.0
San Felipe,143.0
Izamal,9118.0
