Municipio,Porcentaje de hombres
Acanceh,49.9582637729549
Dzidzantún,50.461354104254
Chankom,50.3414425949637
Tixmehuac,49.9265246142542
Chichimilá,50.7654688496704
Progreso,49.962125802933
Panabá,49.3947978367242
Santa Elena,49.8104265402844
Tahmek,50.5829358770535
Sucilá,49.8866784185344
Sudzal,51.2570548999487
Tinum,50.2755905511811
Sacalum,51.5920999596937
Oxkutzcab,48.1774679506114
Timucuy,50.4864720778355
Buctzotz,50.5950431269789
Celestún,50.482775062582
Dzoncauich,50.4613200851668
Kinchil,50.3585657370518
Dzán,48.9588539063801
Telchac Puerto,49.7650130548303
Espita,50.7300792657488
Chapab,50.1624815361891
Dzitás,51.2079701120797
Abalá,50.4274809160305
Tahdziú,51.400751622822
Dzilam González,50.849358974359
Tekax,49.105676623319
Chocholá,51.2029611351018
Total estatal,49.1309398344951
Kopomá,51.8117295480015
Hunucmá,49.6826706890173
Bokobá ,50.253807106599
Sanahcat,50.4409171075838
Peto,49.6532326423673
Sinanché,51.4036182158453
Chicxulub Pueblo,50.6782299310652
Chemax,50.2773925104022
Tetiz,50.9516837481698
Tekal de Venegas,51.09951546776
Yaxcabá,51.1070336391437
Huhí,51.3904761904762
Dzemul,49.6134732192159
Río Lagartos,51.157523905385
Temozón,50.4796163069544
Hoctún,49.718045112782
Tekantó,50.2802241793435
Cacalchén,50.3204272363151
Tunkás,51.2757871878393
Temax,50.3481597271565
Ixil,50.1672240802676
Chumayel,49.22934648582
Teabo,49.7904927033666
Umán,49.7809015575513
Tekit,50.6896551724138
Tizimín,49.6504363347878
Halachó,50.2140672782875
Samahil,50.3462972828982
Kaua,50.6314243759178
Tecoh,50.3985729416355
Valladolid,49.0580388485841
Ucú,49.7653741664609
Chacsinkín,51.159793814433
Mama,48.998786407767
Ticul,49.2332386714409
Mocochá,51.2244897959184
Tixcacalcupul,49.9366125760649
Cansahcab,48.9923869234214
Kanasín,49.607225639183
Xocchel,50.709939148073
Mayapán,52.1815889029004
Muxupip,48.7959866220736
Suma,51.8578352180937
Tekom,49.6274217585693
Tixkokob,49.0608034744843
Hocabá,49.8771875959472
Conkal,49.0072581128907
Seyé,51.0195961404556
Uayma,49.8926270579814
Cuncunul,51.6336056009335
Mérida,48.1715435888211
Tepakán,50.070323488045
Homún,50.2966625463535
Muna,50.0
Dzilam de Bravo,50.2043596730245
Cuzamá,50.7374100719424
Motul,49.4048248862554
Kantunil,49.1626148028093
Baca,49.1202582728006
Opichén,50.5225988700565
Tzucacab,49.9739345757852
Telchac Pueblo,48.7186788154898
Teya,49.8174230568597
Cantamayec,51.6515426497278
Maní,49.3297587131367
Tixpéhual,49.4903339191564
Cenotillo,49.678800856531
Akil,49.6540496540497
Chikindzonot,50.240660096264
Sotuta,51.0984721757555
Yobaín,50.1128668171558
Quintana Roo,49.1803278688525
Yaxkukul,49.438202247191
Calotmul ,50.3165358318562
Maxcanú,50.4689258471927
San Felipe,51.4164305949009
Izamal,49.7285939415164
