Municipio,Porcentaje de mujeres
Acanceh,50.0417362270451
Dzidzantún,49.538645895746
Chankom,49.6585574050363
Tixmehuac,50.0734753857458
Chichimilá,49.2345311503296
Progreso,50.037874197067
Panabá,50.6052021632758
Santa Elena,50.1895734597156
Tahmek,49.4170641229465
Sucilá,50.1133215814656
Sudzal,48.7429451000513
Tinum,49.7244094488189
Sacalum,48.4079000403063
Oxkutzcab,51.8225320493885
Timucuy,49.5135279221645
Buctzotz,49.4049568730211
Celestún,49.517224937418
Dzoncauich,49.5386799148332
Kinchil,49.6414342629482
Dzán,51.0411460936199
Telchac Puerto,50.2349869451697
Espita,49.2699207342512
Chapab,49.8375184638109
Dzitás,48.7920298879203
Abalá,49.5725190839695
Tahdziú,48.599248377178
Dzilam González,49.150641025641
Tekax,50.894323376681
Chocholá,48.7970388648982
Total estatal,50.8690601655049
Kopomá,48.1882704519985
Hunucmá,50.3173293109827
Bokobá ,49.746192893401
Sanahcat,49.5590828924162
Peto,50.3467673576327
Sinanché,48.5963817841547
Chicxulub Pueblo,49.3217700689348
Chemax,49.7226074895978
Tetiz,49.0483162518302
Tekal de Venegas,48.90048453224
Yaxcabá,48.8929663608563
Huhí,48.6095238095238
Dzemul,50.3865267807841
Río Lagartos,48.842476094615
Temozón,49.5203836930456
Hoctún,50.281954887218
Tekantó,49.7197758206565
Cacalchén,49.6795727636849
Tunkás,48.7242128121607
Temax,49.6518402728435
Ixil,49.8327759197324
Chumayel,50.77065351418
Teabo,50.2095072966334
Umán,50.2190984424487
Tekit,49.3103448275862
Tizimín,50.3495636652122
Halachó,49.7859327217125
Samahil,49.6537027171018
Kaua,49.3685756240822
Tecoh,49.6014270583645
Valladolid,50.9419611514159
Ucú,50.2346258335391
Chacsinkín,48.840206185567
Mama,51.001213592233
Ticul,50.7667613285591
Mocochá,48.7755102040816
Tixcacalcupul,50.0633874239351
Cansahcab,51.0076130765786
Kanasín,50.392774360817
Xocchel,49.290060851927
Mayapán,47.8184110970996
Muxupip,51.2040133779264
Suma,48.1421647819063
Tekom,50.3725782414307
Tixkokob,50.9391965255157
Hocabá,50.1228124040528
Conkal,50.9927418871093
Seyé,48.9804038595444
Uayma,50.1073729420186
Cuncunul,48.3663943990665
Mérida,51.8284564111788
Tepakán,49.929676511955
Homún,49.7033374536465
Muna,50.0
Dzilam de Bravo,49.7956403269755
Cuzamá,49.2625899280576
Motul,50.5951751137446
Kantunil,50.8373851971907
Baca,50.8797417271994
Opichén,49.4774011299435
Tzucacab,50.0260654242148
Telchac Pueblo,51.2813211845103
Teya,50.1825769431403
Cantamayec,48.3484573502722
Maní,50.6702412868633
Tixpéhual,50.5096660808436
Cenotillo,50.321199143469
Akil,50.3459503459503
Chikindzonot,49.759339903736
Sotuta,48.9015278242445
Yobaín,49.8871331828442
Quintana Roo,50.8196721311475
Yaxkukul,50.561797752809
Calotmul ,49.6834641681438
Maxcanú,49.5310741528073
San Felipe,48.5835694050992
Izamal,50.2714060584836
