Municipio,Población total
Tlaltenango de Sánchez Román,27302.0
Teúl de González Ortega,5356.0
Concepción del Oro,12115.0
Tabasco,16588.0
Sombrerete,63665.0
Vetagrande,10276.0
Jiménez del Teul,4465.0
Ojocaliente,44144.0
Benito Juárez,4493.0
Tepechitlán,8321.0
Chalchihuites,10086.0
Miguel Auza,23713.0
Momax ,2446.0
Calera,45759.0
Villanueva,31558.0
Moyahua de Estrada,4530.0
El Salvador,2509.0
Total estatal,1.622138e6
Apozol,6260.0
Luis Moya,13184.0
General Pánfilo Natera,23526.0
Monte Escobedo,8683.0
Zacatecas,149607.0
Melchor Ocampo,2736.0
Susticacán ,1365.0
General Francisco R. Murguía,20191.0
Atolinga,2277.0
Fresnillo,240532.0
Mazapil,17774.0
Juan Aldama,19749.0
Villa González Ortega,13208.0
Jerez,59910.0
Nochistlán de Mejía,27945.0
Cañitas de Felipe Pescador,8255.0
Santa María de la Paz,2767.0
Trancoso,20455.0
Trinidad García de la Cadena,3362.0
Genaro Codina,8168.0
El Plateado de Joaquín Amaro,1579.0
Jalpa,25296.0
Loreto,53709.0
Pánuco,17577.0
Villa de Cos,34623.0
Noria de Ángeles,16284.0
Morelos,13207.0
Villa García,19525.0
Huanusco,4547.0
Tepetongo,6490.0
Sain Alto,21844.0
Mezquital del Oro,2451.0
Juchipila,12251.0
Apulco,4942.0
General Enrique Estrada,6644.0
Guadalupe,211740.0
Pinos,72241.0
Río Grande,64535.0
Cuauhtémoc,13466.0
Villa Hidalgo,19446.0
Valparaíso,32461.0
