Municipio,Porcentaje de hombres
Tlaltenango de Sánchez Román,48.4360120137719
Teúl de González Ortega,48.7677371172517
Concepción del Oro,50.0619067271977
Tabasco,48.8726790450928
Sombrerete,49.4259012016021
Vetagrande,48.7057220708447
Jiménez del Teul,49.4960806270997
Ojocaliente,48.1650960492932
Benito Juárez,49.8998442020921
Tepechitlán,47.8788607138565
Chalchihuites,48.5028752726552
Miguel Auza,48.8128874457049
Momax ,48.4464431725266
Calera,49.3432985860705
Villanueva,49.4011027314785
Moyahua de Estrada,48.962472406181
El Salvador,50.7772020725389
Total estatal,48.766381158693
Apozol,48.5782747603834
Luis Moya,48.8015776699029
General Pánfilo Natera,48.6313015387231
Monte Escobedo,49.3377864793274
Zacatecas,48.1073746549292
Melchor Ocampo,53.1798245614035
Susticacán ,48.6446886446886
General Francisco R. Murguía,48.4077064038433
Atolinga,49.6706192358366
Fresnillo,48.9610529991851
Mazapil,51.260267806909
Juan Aldama,48.4328320421287
Villa González Ortega,47.5090854027862
Jerez,48.6813553663829
Nochistlán de Mejía,48.2447665056361
Cañitas de Felipe Pescador,48.7825560266505
Santa María de la Paz,48.7893024936755
Trancoso,49.0784649230017
Trinidad García de la Cadena,49.2563950029744
Genaro Codina,48.2737512242899
El Plateado de Joaquín Amaro,49.461684610513
Jalpa,49.1302972802024
Loreto,48.9061423597535
Pánuco,49.9516413494908
Villa de Cos,49.8368136787685
Noria de Ángeles,48.5138786538934
Morelos,49.6100552737185
Villa García,49.3060179257362
Huanusco,49.6371233780515
Tepetongo,49.3990755007704
Sain Alto,48.7227613990112
Mezquital del Oro,49.6124031007752
Juchipila,48.0532201452943
Apulco,47.3290165924727
General Enrique Estrada,49.3829018663456
Guadalupe,48.387172947955
Pinos,48.1111834000083
Río Grande,48.4698225768963
Cuauhtémoc,48.626169612357
Villa Hidalgo,48.8738043813638
Valparaíso,49.3792551061274
