Municipio,Porcentaje de mujeres
Tlaltenango de Sánchez Román,51.5639879862281
Teúl de González Ortega,51.2322628827483
Concepción del Oro,49.9380932728023
Tabasco,51.1273209549072
Sombrerete,50.5740987983979
Vetagrande,51.2942779291553
Jiménez del Teul,50.5039193729003
Ojocaliente,51.8349039507068
Benito Juárez,50.1001557979079
Tepechitlán,52.1211392861435
Chalchihuites,51.4971247273448
Miguel Auza,51.1871125542951
Momax ,51.5535568274734
Calera,50.6567014139295
Villanueva,50.5988972685214
Moyahua de Estrada,51.037527593819
El Salvador,49.2227979274611
Total estatal,51.233618841307
Apozol,51.4217252396166
Luis Moya,51.1984223300971
General Pánfilo Natera,51.3686984612769
Monte Escobedo,50.6622135206726
Zacatecas,51.8926253450708
Melchor Ocampo,46.8201754385965
Susticacán ,51.3553113553114
General Francisco R. Murguía,51.5922935961567
Atolinga,50.3293807641634
Fresnillo,51.0389470008149
Mazapil,48.739732193091
Juan Aldama,51.5671679578713
Villa González Ortega,52.4909145972138
Jerez,51.3186446336171
Nochistlán de Mejía,51.7552334943639
Cañitas de Felipe Pescador,51.2174439733495
Santa María de la Paz,51.2106975063245
Trancoso,50.9215350769983
Trinidad García de la Cadena,50.7436049970256
Genaro Codina,51.7262487757101
El Plateado de Joaquín Amaro,50.538315389487
Jalpa,50.8697027197976
Loreto,51.0938576402465
Pánuco,50.0483586505092
Villa de Cos,50.1631863212316
Noria de Ángeles,51.4861213461066
Morelos,50.3899447262815
Villa García,50.6939820742638
Huanusco,50.3628766219485
Tepetongo,50.6009244992296
Sain Alto,51.2772386009888
Mezquital del Oro,50.3875968992248
Juchipila,51.9467798547057
Apulco,52.6709834075273
General Enrique Estrada,50.6170981336544
Guadalupe,51.612827052045
Pinos,51.8888165999917
Río Grande,51.5301774231037
Cuauhtémoc,51.3738303876429
Villa Hidalgo,51.1261956186362
Valparaíso,50.6207448938726
