Municipio,Defunciones Generales
Cuernavaca,3243.0
Total estatal,13563.0
Emiliano Zapata,503.0
Temoac,111.0
Jiutepec,1266.0
Ayala,550.0
Zacatepec,306.0
Huitzilac,122.0
Ocuituco,119.0
Xochitepec,481.0
Temixco,812.0
Tlaltizapán de Zapata,379.0
Atlatlahucan,153.0
Jantetelco,106.0
Jonacatepec,100.0
Totolapan,67.0
Tepalcingo,209.0
Tlayacapan,132.0
Yecapixtla,294.0
Mazatepec,84.0
Tetecala,80.0
Jojutla,482.0
Tetela del Volcán,126.0
Zacualpan de Amilpas,67.0
Axochiapan,249.0
Amacuzac,135.0
Cuautla,1338.0
Puente de Ixtla,438.0
Miacatlán,224.0
Tlaquiltenango,207.0
Tlalnepantla,36.0
Coatlán del Río,111.0
Tepoztlán,323.0
Yautepec,696.0
