Municipio,Nacimientos
Cuernavaca,5566.0
Total estatal,29727.0
Emiliano Zapata,1359.0
Temoac,130.0
Jiutepec,3014.0
Ayala,1545.0
Zacatepec,560.0
Huitzilac,349.0
Ocuituco,283.0
Xochitepec,1131.0
Temixco,1786.0
Tlaltizapán de Zapata,825.0
Atlatlahucan,371.0
Jantetelco,266.0
Jonacatepec,246.0
Totolapan,207.0
Tepalcingo,418.0
Tlayacapan,328.0
Yecapixtla,1024.0
Mazatepec,160.0
Tetecala,114.0
Jojutla,819.0
Tetela del Volcán,419.0
Zacualpan de Amilpas,147.0
Axochiapan,731.0
Amacuzac,302.0
Cuautla,2909.0
Puente de Ixtla,770.0
Miacatlán,262.0
Tlaquiltenango,472.0
Tlalnepantla,148.0
Coatlán del Río,180.0
Tepoztlán,573.0
Yautepec,1636.0
