Municipio,Población de 5 años y más hablante de lengua indígena
Cuernavaca,4034.0
Total estatal,31388.0
Emiliano Zapata,673.0
Temoac,80.0
Jiutepec,1961.0
Ayala,2589.0
Zacatepec,169.0
Huitzilac,160.0
Ocuituco,74.0
Xochitepec,937.0
Temixco,3837.0
Tlaltizapán de Zapata,458.0
Atlatlahucan,456.0
Jantetelco,180.0
Jonacatepec,105.0
Totolapan,233.0
Tepalcingo,93.0
Tlayacapan,692.0
Yecapixtla,451.0
Mazatepec,41.0
Tetecala,18.0
Jojutla,370.0
Tetela del Volcán,2999.0
Zacualpan de Amilpas,21.0
Axochiapan,265.0
Amacuzac,41.0
Cuautla,5083.0
Puente de Ixtla,1623.0
Miacatlán,97.0
Tlaquiltenango,131.0
Tlalnepantla,54.0
Coatlán del Río,19.0
Tepoztlán,2200.0
Yautepec,1244.0
