Municipio,Población total
Cuernavaca,378476.0
Total estatal,1.97152e6
Emiliano Zapata,107053.0
Temoac,16574.0
Jiutepec,215357.0
Ayala,89834.0
Zacatepec,36094.0
Huitzilac,24515.0
Ocuituco,19219.0
Xochitepec,73539.0
Temixco,122263.0
Tlaltizapán de Zapata,52399.0
Atlatlahucan,25232.0
Jantetelco,18402.0
Jonacatepec,16694.0
Totolapan,12750.0
Tepalcingo,28122.0
Tlayacapan,19408.0
Yecapixtla,56083.0
Mazatepec,9653.0
Tetecala,7617.0
Jojutla,57682.0
Tetela del Volcán,14853.0
Zacualpan de Amilpas,9965.0
Axochiapan,39174.0
Amacuzac,17598.0
Cuautla,187118.0
Puente de Ixtla,40018.0
Miacatlán,15802.0
Tlaquiltenango,33789.0
Tlalnepantla,7943.0
Coatlán del Río,10520.0
Tepoztlán,54987.0
Yautepec,105780.0
