Municipio,Porcentaje de mujeres
Cuernavaca,Cuernavaca
Total estatal,Total estatal
Emiliano Zapata,Emiliano Zapata
Temoac,Temoac
Jiutepec,Jiutepec
Ayala,Ayala
Zacatepec,Zacatepec
Huitzilac,Huitzilac
Ocuituco,Ocuituco
Xochitepec,Xochitepec
Temixco,Temixco
Tlaltizapán de Zapata,Tlaltizapán de Zapata
Atlatlahucan,Atlatlahucan
Jantetelco,Jantetelco
Jonacatepec,Jonacatepec
Totolapan,Totolapan
Tepalcingo,Tepalcingo
Tlayacapan,Tlayacapan
Yecapixtla,Yecapixtla
Mazatepec,Mazatepec
Tetecala,Tetecala
Jojutla,Jojutla
Tetela del Volcán,Tetela del Volcán
Zacualpan de Amilpas,Zacualpan de Amilpas
Axochiapan,Axochiapan
Amacuzac,Amacuzac
Cuautla,Cuautla
Puente de Ixtla,Puente de Ixtla
Miacatlán,Miacatlán
Tlaquiltenango,Tlaquiltenango
Tlalnepantla,Tlalnepantla
Coatlán del Río,Coatlán del Río
Tepoztlán,Tepoztlán
Yautepec,Yautepec
