Municipio,Densidad de población
Total estatal,44.3507664964436
San Blas,47.8791632058594
Compostela,41.1787841398249
Del Nayar ,9.24657980098265
San Pedro Lagunillas,14.8988239493493
La Yesca,3.17808711481622
Acaponeta,26.0865206807598
Jala,38.3644525064541
Tepic,265.762815143607
Tecuala,35.5432481846525
Xalisco,121.616751150339
Ixtlán del Río,59.4282770079064
Ahuacatlán,30.4932087270666
Amatlán de Cañas,22.2557022551374
Rosamorada,18.2365533681683
Huajicori,5.46610948052167
Ruíz,46.2854853429053
Santiago Ixcuintla,54.3922327922964
Santa María del Oro,22.8248375738219
Tuxpan,95.7672638907672
Bahía de Banderas,243.25032625469
