Municipio,Densidad de población
El Carmen,1001.98737220167
Monterrey,3523.32346798067
Doctor González ,5.29691933401251
Doctor Coss ,1.88694028193092
Vallecillo ,0.879347044979243
General Escobedo,3221.78910217733
Allende,185.291869200263
Mier y Noriega,7.66801264628102
Marín,19.3261269642227
Hidalgo,94.2981769824104
Total estatal,90.1618468584052
Mina,1.56685842248914
Santa Catarina,334.486325239599
Rayones ,3.47997493726442
San Pedro Garza García,1867.25722932426
General Bravo,2.91540988313947
Santiago,63.2873537367553
Pesquería,457.317776988323
Aramberri,5.57606192561827
Montemorelos,36.0778537551268
García,384.884567876918
General Terán,5.69176854291075
Higueras ,3.12739473595474
General Treviño ,4.66065621589282
Agualeguas ,3.44794219415841
Anáhuac,3.97206063368021
Abasolo ,63.4414733443153
Ciénega de Flores,495.526608297663
Iturbide ,5.88401272738536
Apodaca,2930.43083026811
Villaldama,4.0632962503722
Doctor Arroyo,7.14097004686658
Juárez,1906.71538890561
Melchor Ocampo ,7.13410764810181
Sabinas Hidalgo,22.5170456483408
Lampazos de Naranjo,1.56095195540218
Los Ramones,4.01878740278538
Cadereyta Jiménez,107.232399864095
Bustamante ,7.84429685331088
Galeana,5.78683464643587
General Zuazua,553.671161619615
General Zaragoza,4.80761924156089
Hualahuises,54.979931565933
Parás ,0.773536662170674
Los Herreras ,3.94520307303791
Guadalupe,5430.96184729572
Salinas Victoria,52.0378715237794
Linares,33.7420673970112
Los Aldamas ,2.02588564278737
San Nicolás de los Garza,6854.07317318688
China,2.32786659206831
Cerralvo,7.28599263648565
