Municipio,Población total
El Carmen,104478.0
Monterrey,1.142994e6
Doctor González ,3256.0
Doctor Coss ,1360.0
Vallecillo ,1552.0
General Escobedo,481213.0
Allende,35289.0
Mier y Noriega,7652.0
Marín,5119.0
Hidalgo,16086.0
Total estatal,5.784442e6
Mina,6048.0
Santa Catarina,306322.0
Rayones ,2377.0
San Pedro Garza García,132169.0
General Bravo,5506.0
Santiago,46784.0
Pesquería,147624.0
Aramberri,14992.0
Montemorelos,67428.0
García,397205.0
General Terán,14109.0
Higueras ,1386.0
General Treviño ,1808.0
Agualeguas ,3382.0
Anáhuac,18030.0
Abasolo ,2974.0
Ciénega de Flores,68747.0
Iturbide ,3298.0
Apodaca,656464.0
Villaldama,3573.0
Doctor Arroyo,36088.0
Juárez,471523.0
Melchor Ocampo ,1483.0
Sabinas Hidalgo,34709.0
Lampazos de Naranjo,5351.0
Los Ramones,5389.0
Cadereyta Jiménez,122337.0
Bustamante ,3661.0
Galeana,40903.0
General Zuazua,102149.0
General Zaragoza,6282.0
Hualahuises,7026.0
Parás ,906.0
Los Herreras ,1959.0
Guadalupe,643143.0
Salinas Victoria,86766.0
Linares,84666.0
Los Aldamas ,1407.0
San Nicolás de los Garza,412199.0
China,9930.0
Cerralvo,7340.0
