Municipio,Porcentaje de hombres
El Carmen,El Carmen
Monterrey,Monterrey
Doctor González ,Doctor González 
Doctor Coss ,Doctor Coss 
Vallecillo ,Vallecillo 
General Escobedo,General Escobedo
Allende,Allende
Mier y Noriega,Mier y Noriega
Marín,Marín
Hidalgo,Hidalgo
Total estatal,Total estatal
Mina,Mina
Santa Catarina,Santa Catarina
Rayones ,Rayones 
San Pedro Garza García,San Pedro Garza García
General Bravo,General Bravo
Santiago,Santiago
Pesquería,Pesquería
Aramberri,Aramberri
Montemorelos,Montemorelos
García,García
General Terán,General Terán
Higueras ,Higueras 
General Treviño ,General Treviño 
Agualeguas ,Agualeguas 
Anáhuac,Anáhuac
Abasolo ,Abasolo 
Ciénega de Flores,Ciénega de Flores
Iturbide ,Iturbide 
Apodaca,Apodaca
Villaldama,Villaldama
Doctor Arroyo,Doctor Arroyo
Juárez,Juárez
Melchor Ocampo ,Melchor Ocampo 
Sabinas Hidalgo,Sabinas Hidalgo
Lampazos de Naranjo,Lampazos de Naranjo
Los Ramones,Los Ramones
Cadereyta Jiménez,Cadereyta Jiménez
Bustamante ,Bustamante 
Galeana,Galeana
General Zuazua,General Zuazua
General Zaragoza,General Zaragoza
Hualahuises,Hualahuises
Parás ,Parás 
Los Herreras ,Los Herreras 
Guadalupe,Guadalupe
Salinas Victoria,Salinas Victoria
Linares,Linares
Los Aldamas ,Los Aldamas 
San Nicolás de los Garza,San Nicolás de los Garza
China,China
Cerralvo,Cerralvo
