Municipio,Defunciones Generales
Santo Domingo Armenta ,31.0
San Andrés Teotilálpam ,47.0
Santa María Apazco ,8.0
Santo Domingo Tepuxtepec ,35.0
Santos Reyes Nopala,85.0
San Antonino Monte Verde,41.0
Magdalena Apasco,32.0
Santa Inés del Monte ,20.0
Ánimas Trujano ,25.0
Santo Domingo Teojomulco ,23.0
El Barrio de la Soledad,95.0
San Andrés Solaga ,19.0
San Francisco Ixhuatán,67.0
Santa María Ixcatlán ,7.0
Santiago Yosondúa,63.0
San Juan Colorado,65.0
Villa de Etla,124.0
Santa María Jacatepec,60.0
San Lorenzo,42.0
Totontepec Villa de Morelos ,48.0
San Juan Bautista Jayacatlán,12.0
Tlacolula de Matamoros,200.0
Santa María Mixtequilla ,45.0
San Francisco Huehuetlán,10.0
Santa María Temaxcaltepec ,21.0
San Vicente Lachixío ,13.0
San Mateo Yucutindoo ,17.0
Putla Villa de Guerrero,179.0
Santa Cruz Papalutla ,19.0
San Juan Mazatlán,112.0
San Lucas Ojitlán ,130.0
San Luis Amatlán ,21.0
Santiago Lachiguiri,20.0
San Pedro Ocopetatillo ,9.0
San Pedro y San Pablo Teposcolula ,20.0
Santos Reyes Pápalo ,9.0
San Mateo Río Hondo ,15.0
Santiago Zacatepec ,49.0
Santa María Texcatitlán ,6.0
Santa María Tonameca,153.0
Santa María Teopoxco ,24.0
San José Lachiguiri ,29.0
San Juan Guelavía,21.0
San Pedro Tidaá ,11.0
Fresnillo de Trujano,4.0
San Francisco Chindúa ,3.0
San Andrés Huayápam ,20.0
San Sebastián Coatlán ,25.0
Concepción Pápalo ,24.0
Villa Hidalgo ,7.0
San Francisco Teopan ,3.0
San Lucas Quiaviní ,25.0
San Francisco Nuxaño ,3.0
San Mateo Tlapiltepec ,2.0
San Juan Guichicovi,219.0
San Miguel Coatlán ,13.0
Sitio de Xitlapehua ,4.0
San Miguel Mixtepec ,17.0
Santo Domingo Tlatayápam ,1.0
San Francisco Logueche ,13.0
Santiago Huajolotitlán ,18.0
Santo Domingo Tomaltepec ,13.0
San Juan Bautista Valle Nacional,170.0
San Pablo Huitzo,45.0
Santiago Nuyoó ,17.0
San Andrés Paxtlán ,35.0
Santa María Peñoles ,54.0
San Juan Teitipac,30.0
Santiago Nacaltepec ,24.0
La Pe ,14.0
Soledad Etla ,24.0
Santa Catalina Quierí ,5.0
Santa Catarina Cuixtla ,5.0
Santa Catarina Juquila,67.0
San Francisco del Mar,31.0
San Miguel Panixtlahuaca ,35.0
Santiago Pinotepa Nacional,336.0
Tlacotepec Plumas ,1.0
Santo Domingo Tonalá,47.0
Rojas de Cuauhtémoc ,5.0
San Juan Coatzóspam,20.0
Santa Catarina Loxicha ,15.0
Santa María Tlahuitoltepec ,78.0
San Pedro Molinos ,6.0
San Jerónimo Coatlán ,17.0
Santa Ana Tlapacoyan ,14.0
Santiago Texcalcingo ,15.0
Santiago Atitlán ,15.0
Villa Díaz Ordaz,58.0
San Martín de los Cansecos ,7.0
San Melchor Betaza ,12.0
San Miguel Achiutla ,14.0
San José Chiltepec,74.0
La Compañía ,20.0
San Ildefonso Sola ,4.0
Santa María Guienagati ,10.0
San Miguel Soyaltepec,296.0
San Baltazar Loxicha ,12.0
San Cristóbal Lachirioag ,11.0
San Francisco Chapulapa ,27.0
San Juan Tepeuxila,29.0
San Pablo Villa de Mitla,93.0
San Lorenzo Cacaotepec,74.0
