Municipio,Nacimientos
Santo Domingo Armenta ,67.0
San Andrés Teotilálpam ,66.0
Santa María Apazco ,10.0
Santo Domingo Tepuxtepec ,140.0
Santos Reyes Nopala,319.0
San Antonino Monte Verde,144.0
Magdalena Apasco,64.0
Santa Inés del Monte ,46.0
Ánimas Trujano ,62.0
Santo Domingo Teojomulco ,107.0
El Barrio de la Soledad,189.0
San Andrés Solaga ,28.0
San Francisco Ixhuatán,158.0
Santa María Ixcatlán ,5.0
Santiago Yosondúa,166.0
San Juan Colorado,180.0
Villa de Etla,264.0
Santa María Jacatepec,161.0
San Lorenzo,102.0
Totontepec Villa de Morelos ,113.0
San Juan Bautista Jayacatlán,16.0
Tlacolula de Matamoros,502.0
Santa María Mixtequilla ,71.0
San Francisco Huehuetlán,12.0
Santa María Temaxcaltepec ,53.0
San Vicente Lachixío ,56.0
San Mateo Yucutindoo ,63.0
Putla Villa de Guerrero,617.0
Santa Cruz Papalutla ,25.0
San Juan Mazatlán,253.0
San Lucas Ojitlán ,462.0
San Luis Amatlán ,80.0
Santiago Lachiguiri,53.0
San Pedro Ocopetatillo ,13.0
San Pedro y San Pablo Teposcolula ,79.0
Santos Reyes Pápalo ,73.0
San Mateo Río Hondo ,70.0
Santiago Zacatepec ,96.0
Santa María Texcatitlán ,14.0
Santa María Tonameca,539.0
Santa María Teopoxco ,117.0
San José Lachiguiri ,46.0
San Juan Guelavía,34.0
San Pedro Tidaá ,7.0
Fresnillo de Trujano,21.0
San Francisco Chindúa ,11.0
San Andrés Huayápam ,79.0
San Sebastián Coatlán ,55.0
Concepción Pápalo ,27.0
Villa Hidalgo ,31.0
San Francisco Teopan ,3.0
San Lucas Quiaviní ,19.0
San Francisco Nuxaño ,2.0
San Mateo Tlapiltepec ,0.0
San Juan Guichicovi,504.0
San Miguel Coatlán ,55.0
Sitio de Xitlapehua ,8.0
San Miguel Mixtepec ,57.0
Santo Domingo Tlatayápam ,0.0
San Francisco Logueche ,42.0
Santiago Huajolotitlán ,59.0
Santo Domingo Tomaltepec ,49.0
San Juan Bautista Valle Nacional,403.0
San Pablo Huitzo,128.0
Santiago Nuyoó ,24.0
San Andrés Paxtlán ,88.0
Santa María Peñoles ,188.0
San Juan Teitipac,40.0
Santiago Nacaltepec ,11.0
La Pe ,61.0
Soledad Etla ,57.0
Santa Catalina Quierí ,11.0
Santa Catarina Cuixtla ,16.0
Santa Catarina Juquila,359.0
San Francisco del Mar,159.0
San Miguel Panixtlahuaca ,137.0
Santiago Pinotepa Nacional,1033.0
Tlacotepec Plumas ,1.0
Santo Domingo Tonalá,141.0
Rojas de Cuauhtémoc ,10.0
San Juan Coatzóspam,35.0
Santa Catarina Loxicha ,63.0
Santa María Tlahuitoltepec ,173.0
San Pedro Molinos ,8.0
San Jerónimo Coatlán ,82.0
Santa Ana Tlapacoyan ,23.0
Santiago Texcalcingo ,50.0
Santiago Atitlán ,73.0
Villa Díaz Ordaz,81.0
San Martín de los Cansecos ,15.0
San Melchor Betaza ,24.0
San Miguel Achiutla ,8.0
San José Chiltepec,170.0
La Compañía ,39.0
San Ildefonso Sola ,11.0
Santa María Guienagati ,62.0
San Miguel Soyaltepec,744.0
San Baltazar Loxicha ,51.0
San Cristóbal Lachirioag ,13.0
San Francisco Chapulapa ,37.0
San Juan Tepeuxila,47.0
San Pablo Villa de Mitla,201.0
San Lorenzo Cacaotepec,145.0
Santa María Tepantlali ,67.0
San Carlos Yautepec,224.0
Santiago Suchilquitongo,128.0
Zapotitlán Palmas ,27.0
Santiago Ixcuintepec ,33.0
Mártires de Tacubaya ,27.0
Santiago Zoochila ,5.0
Santiago Astata ,60.0
San Juan Yaeé ,16.0
San Miguel Tequixtepec ,8.0
San Juan Lachigalla,39.0
Santiago Lalopa ,1.0
San Juan Ozolotepec,98.0
Santiago Xanica ,94.0
Santa Catarina Zapoquila ,8.0
San Pedro Jicayán,248.0
San Miguel Tilquiápam ,97.0
Santa Catarina Quioquitani ,3.0
San Pedro Totolápam ,34.0
Santiago del Río ,7.0
San Juan Achiutla ,2.0
San Juan Lalana,286.0
405 Villa de Chilapa de Díaz ,23.0
Chiquihuitlán de Benito Juárez ,26.0
Santa María Alotepec ,39.0
San Juan Quiotepec,31.0
San Pablo Huixtepec,129.0
Tlalixtac de Cabrera,186.0
Santa Cruz Xitla ,73.0
San Miguel del Río ,0.0
Asunción Cacalotepec ,43.0
Santa Ana Cuauhtémoc ,10.0
San Pedro Mixtepec ,5.0
Santo Domingo Yodohino ,4.0
San Mateo Piñas ,31.0
San Pedro Nopala ,15.0
San Martín Toxpalan ,70.0
San Andrés Zautla ,40.0
Santa María Colotepec,369.0
San Cristóbal Suchixtlahuaca ,9.0
Villa de Tututepec de Melchor Ocampo,913.0
San Antonino el Alto ,36.0
San Pedro Juchatengo ,24.0
San Antonino Castillo Velasco,106.0
Mesones Hidalgo ,68.0
Heroica Ciudad de Huajuapan de León,1626.0
San Agustín Loxicha ,744.0
San Andrés Cabecera Nueva ,51.0
Santiago Yucuyachi ,14.0
San Juan Lajarcia,5.0
San Agustín Etla ,36.0
Santo Domingo Zanatepec,170.0
Santa Catarina Yosonotú ,11.0
Santiago Xiacuí ,28.0
San Marcial Ozolotepec ,27.0
San Juan Petlapa,80.0
San Juan Sayultepec,12.0
San Juan Bautista Guelache,79.0
Santiago Laollaga ,39.0
San Lorenzo Texmelúcan ,181.0
Heroica Ciudad de Tlaxiaco,770.0
San Dionisio Ocotlán ,18.0
Santo Domingo Ozolotepec ,29.0
Pinotepa de Don Luis,121.0
Santiago Tapextla ,71.0
San Juan del Río,15.0
San Juan Quiahije,111.0
Capulálpam de Méndez ,19.0
San Bartolomé Quialana ,18.0
Santa María Yosoyúa ,21.0
Chalcatongo de Hidalgo,153.0
Santo Domingo Petapa,177.0
San Mateo Cajonos ,6.0
San Miguel Amatitlán,157.0
San Miguel Santa Flor ,12.0
Santiago Llano Grande ,62.0
Santos Reyes Tepejillo ,8.0
Santa María Totolapilla ,8.0
San Jerónimo Sosola ,26.0
San Andrés Zabache ,9.0
Santo Domingo Tehuantepec,945.0
Santa Ana del Valle,21.0
San Sebastián Tutla,198.0
San Juan Bautista Atatlahuca,22.0
Santiago Tenango ,34.0
San José Estancia Grande ,19.0
San Dionisio del Mar,86.0
San Martín Peras ,326.0
Santa María Zacatepec,332.0
Santiago Tamazola ,91.0
San Agustín Chayuco ,63.0
San Baltazar Yatzachi el Bajo ,8.0
Eloxochitlán de Flores Magón ,78.0
San Pedro Huamelula,189.0
San José Tenango ,435.0
San Pedro Mártir Yucuxaco ,26.0
Santa María Zaniza ,49.0
San Jorge Nuchita ,65.0
San Agustín Atenango ,28.0
Tamazulápam del Espíritu Santo,106.0
San Bartolomé Loxicha ,38.0
San Juan Juquila Mixes,42.0
San Sebastián Ixcapa ,72.0
San Juan Mixtepec,5.0
San Miguel Amatlán ,10.0
Santa María Ecatepec ,44.0
Zapotitlán Lagunas ,82.0
Santa María Pápalo ,29.0
San Andrés Dinicuiti ,27.0
Santa María Atzompa,745.0
Santo Domingo Ingenio,76.0
Santiago Camotlán ,47.0
Santo Tomás Mazaltepec ,27.0
Teotitlán de Flores Magón,193.0
Asunción Cuyotepeji ,18.0
Asunción Ocotlán ,25.0
Trinidad Zaachila ,48.0
San Francisco Cahuacuá ,55.0
Cosolapa,214.0
San Pedro Yólox ,23.0
Santa Cruz Zenzontepec ,357.0
Santiago Cacaloxtepec ,33.0
San Pedro Ocotepec ,33.0
Natividad ,3.0
San Pedro Quiatoni ,198.0
San Miguel Aloápam ,28.0
Teotongo,6.0
San Miguel Tlacotepec ,37.0
San Francisco Cajonos ,8.0
Santa María Jaltianguis ,11.0
Santiago Amoltepec ,380.0
Valerio Trujano ,19.0
Santiago Tilantongo ,28.0
Magdalena Yodocono de Porfirio Díaz ,14.0
Santa María Huazolotitlán  ,174.0
San Pedro Coxcaltepec Cántaros ,9.0
San Antonio de la Cal,478.0
San Antonio Nanahuatípam ,28.0
San Francisco Telixtlahuaca,293.0
San Ildefonso Amatlán ,43.0
San José Ayuquila ,22.0
San Jacinto Amilpas,264.0
San José del Progreso,131.0
San Esteban Atatlahuca ,75.0
San Pedro Sochiápam ,114.0
San Vicente Nuñú ,3.0
San Pablo Macuiltianguis ,9.0
San Pedro Huilotepec ,39.0
San Cristóbal Amatlán ,79.0
Santiago Choápam ,79.0
San Juan Atepec ,15.0
San Juan Bautista Suchitepec,5.0
Santo Domingo Albarradas ,13.0
San Miguel Tlacamama ,77.0
San Andrés Lagunas ,16.0
Ayotzintepec,125.0
San Lorenzo Victoria ,12.0
Magdalena Tequisistlán,92.0
San Miguel Ejutla ,14.0
Concepción Buenavista ,10.0
San Pedro Yaneri ,9.0
San Bartolo Coyotepec,133.0
Santa Lucía Miahuatlán ,66.0
San José del Peñasco ,36.0
Ocotlán de Morelos,407.0
San Miguel Huautla ,11.0
San Pedro Ixtlahuaca,229.0
Santa María Coyotepec ,0.0
Yogana ,10.0
Santo Domingo Nuxaá ,57.0
San Jerónimo Tlacochahuaya,57.0
Heroica Ciudad de Ejutla de Crespo,414.0
San Lorenzo Albarradas ,29.0
San Pablo Coatlán ,66.0
San Simón Zahuatlán ,126.0
San Bartolomé Yucuañe ,5.0
Santa Catarina Minas ,30.0
Santiago Chazumba,64.0
San Felipe Jalapa de Díaz ,650.0
San Pablo Cuatro Venados ,32.0
Santa María Ozolotepec ,90.0
San Miguel Tecomatlán ,1.0
San Miguel Piedras ,11.0
San Juan Ihualtepec,7.0
Santa María del Rosario ,7.0
San Jerónimo Taviche ,31.0
San Pedro Teozacoalco ,12.0
San Simón Almolongas ,39.0
San Juan Bautista Tuxtepec,2419.0
Santa María la Asunción ,64.0
San Francisco Sola ,19.0
Huautla de Jiménez,711.0
San Felipe Usila ,272.0
San Martín Tilcajete ,29.0
San Pedro Ixcatlán,280.0
Magdalena Tlacotepec ,10.0
San Andrés Tepetlapa ,10.0
Santa Cruz Mixtepec ,57.0
Santa María Cortijo ,21.0
