Municipio,Población de 5 años y más hablante de lengua indígena
Santo Domingo Armenta ,40.0
San Andrés Teotilálpam ,1960.0
Santa María Apazco ,1552.0
Santo Domingo Tepuxtepec ,4522.0
Santos Reyes Nopala,7866.0
San Antonino Monte Verde,5750.0
Magdalena Apasco,178.0
Santa Inés del Monte ,10.0
Ánimas Trujano ,145.0
Santo Domingo Teojomulco ,27.0
El Barrio de la Soledad,567.0
San Andrés Solaga ,1504.0
San Francisco Ixhuatán,770.0
Santa María Ixcatlán ,33.0
Santiago Yosondúa,1862.0
San Juan Colorado,6074.0
Villa de Etla,806.0
Santa María Jacatepec,5230.0
San Lorenzo,4148.0
Totontepec Villa de Morelos ,4463.0
San Juan Bautista Jayacatlán,12.0
Tlacolula de Matamoros,4736.0
Santa María Mixtequilla ,60.0
San Francisco Huehuetlán,1007.0
Santa María Temaxcaltepec ,2056.0
San Vicente Lachixío ,2552.0
San Mateo Yucutindoo ,2.0
Putla Villa de Guerrero,9548.0
Santa Cruz Papalutla ,637.0
San Juan Mazatlán,8967.0
San Lucas Ojitlán ,16569.0
San Luis Amatlán ,14.0
Santiago Lachiguiri,2472.0
San Pedro Ocopetatillo ,745.0
San Pedro y San Pablo Teposcolula ,106.0
Santos Reyes Pápalo ,2222.0
San Mateo Río Hondo ,113.0
Santiago Zacatepec ,4913.0
Santa María Texcatitlán ,966.0
Santa María Tonameca,7818.0
Santa María Teopoxco ,4016.0
San José Lachiguiri ,3412.0
San Juan Guelavía,1922.0
San Pedro Tidaá ,346.0
Fresnillo de Trujano,2.0
San Francisco Chindúa ,5.0
San Andrés Huayápam ,525.0
San Sebastián Coatlán ,27.0
Concepción Pápalo ,1226.0
Villa Hidalgo ,1752.0
San Francisco Teopan ,0.0
San Lucas Quiaviní ,1596.0
San Francisco Nuxaño ,1.0
San Mateo Tlapiltepec ,2.0
San Juan Guichicovi,19465.0
San Miguel Coatlán ,418.0
Sitio de Xitlapehua ,4.0
San Miguel Mixtepec ,2512.0
Santo Domingo Tlatayápam ,1.0
San Francisco Logueche ,2328.0
Santiago Huajolotitlán ,35.0
Santo Domingo Tomaltepec ,561.0
San Juan Bautista Valle Nacional,11854.0
San Pablo Huitzo,158.0
Santiago Nuyoó ,1685.0
San Andrés Paxtlán ,2547.0
Santa María Peñoles ,6450.0
San Juan Teitipac,395.0
Santiago Nacaltepec ,42.0
La Pe ,4.0
Soledad Etla ,75.0
Santa Catalina Quierí ,812.0
Santa Catarina Cuixtla ,244.0
Santa Catarina Juquila,3994.0
San Francisco del Mar,1058.0
San Miguel Panixtlahuaca ,5172.0
Santiago Pinotepa Nacional,9279.0
Tlacotepec Plumas ,4.0
Santo Domingo Tonalá,1614.0
Rojas de Cuauhtémoc ,11.0
San Juan Coatzóspam,2149.0
Santa Catarina Loxicha ,272.0
Santa María Tlahuitoltepec ,8473.0
San Pedro Molinos ,498.0
San Jerónimo Coatlán ,69.0
Santa Ana Tlapacoyan ,25.0
Santiago Texcalcingo ,2615.0
Santiago Atitlán ,2856.0
Villa Díaz Ordaz,4922.0
San Martín de los Cansecos ,3.0
San Melchor Betaza ,984.0
San Miguel Achiutla ,17.0
San José Chiltepec,3157.0
La Compañía ,6.0
San Ildefonso Sola ,9.0
Santa María Guienagati ,846.0
San Miguel Soyaltepec,23212.0
San Baltazar Loxicha ,539.0
San Cristóbal Lachirioag ,1072.0
San Francisco Chapulapa ,214.0
San Juan Tepeuxila,1586.0
San Pablo Villa de Mitla,4029.0
San Lorenzo Cacaotepec,361.0
Santa María Tepantlali ,3065.0
San Carlos Yautepec,5063.0
Santiago Suchilquitongo,83.0
Zapotitlán Palmas ,287.0
Santiago Ixcuintepec ,1183.0
Mártires de Tacubaya ,23.0
Santiago Zoochila ,257.0
Santiago Astata ,219.0
San Juan Yaeé ,1367.0
San Miguel Tequixtepec ,2.0
San Juan Lachigalla,8.0
Santiago Lalopa ,421.0
San Juan Ozolotepec,1909.0
Santiago Xanica ,1180.0
Santa Catarina Zapoquila ,2.0
San Pedro Jicayán,9427.0
San Miguel Tilquiápam ,2595.0
Santa Catarina Quioquitani ,401.0
San Pedro Totolápam ,224.0
Santiago del Río ,136.0
San Juan Achiutla ,0.0
San Juan Lalana,12303.0
405 Villa de Chilapa de Díaz ,218.0
Chiquihuitlán de Benito Juárez ,1374.0
Santa María Alotepec ,2454.0
San Juan Quiotepec,1981.0
San Pablo Huixtepec,131.0
Tlalixtac de Cabrera,1087.0
Santa Cruz Xitla ,2715.0
San Miguel del Río ,135.0
Asunción Cacalotepec ,2248.0
Santa Ana Cuauhtémoc ,305.0
San Pedro Mixtepec ,947.0
Santo Domingo Yodohino ,0.0
San Mateo Piñas ,196.0
San Pedro Nopala ,1.0
San Martín Toxpalan ,1213.0
San Andrés Zautla ,252.0
