Municipio,Porcentaje de mujeres
Total estatal,Total estatal
Landa de Matamoros,Landa de Matamoros
Pedro Escobedo,Pedro Escobedo
Peñamiller,Peñamiller
Huimilpan,Huimilpan
Amealco de Bonfil,Amealco de Bonfil
El Marqués,El Marqués
Jalpan de Serra,Jalpan de Serra
Arroyo Seco,Arroyo Seco
San Joaquín,San Joaquín
Tolimán,Tolimán
Pinal de Amoles,Pinal de Amoles
Ezequiel Montes,Ezequiel Montes
Tequisquiapan,Tequisquiapan
Cadereyta de Montes,Cadereyta de Montes
Corregidora,Corregidora
Colón,Colón
Querétaro,Querétaro
San Juan del Río,San Juan del Río
