Municipio,Edad mediana
Santa María del Río,27.0
Xilitla,26.0
Axtla de Terrazas,29.0
Huehuetlán,28.0
Tanquián de Escobedo,31.0
Vanegas,28.0
Villa Juárez,31.0
Zaragoza,25.0
Villa de Ramos,26.0
San Luis Potosí,30.0
San Nicolás Tolentino,38.0
San Ciro de Acosta,31.0
Total estatal,29.0
Santa Catarina,23.0
Villa de Guadalupe,30.0
Aquismón,24.0
Matehuala,29.0
Ciudad Valles,32.0
San Antonio,27.0
Venado,32.0
Cedral,27.0
Guadalcázar,29.0
Lagunillas,35.0
Villa de la Paz,29.0
Charcas,30.0
Salinas,25.0
San Vicente Tancuayalab,30.0
Armadillo de los Infante,34.0
Cárdenas,30.0
Alaquines,29.0
Villa de Arista,25.0
Ebano,30.0
Ahualulco,26.0
Tanlajás,28.0
Cerro de San Pedro,29.0
Soledad de Graciano Sánchez,28.0
San Martín Chalchicuautla,36.0
Catorce,29.0
Ciudad del Maíz,28.0
Tamasopo,29.0
Coxcatlán,32.0
Moctezuma,27.0
Tamuín,30.0
Matlapa,26.0
Rayón,30.0
Santo Domingo,31.0
Cerritos,31.0
Tierra Nueva,28.0
El Naranjo,29.0
Tampacán,32.0
Tamazunchale,27.0
Rioverde,29.0
Villa de Reyes,25.0
Tampamolón Corona,28.0
Villa de Arriaga,26.0
Villa Hidalgo,30.0
Mexquitic de Carmona,27.0
Tancanhuitz,28.0
Ciudad Fernández,28.0
