Municipio,Población de 5 años y más hablante de lengua indígena
Santa María del Río,48.0
Xilitla,20034.0
Axtla de Terrazas,16484.0
Huehuetlán,9311.0
Tanquián de Escobedo,2267.0
Vanegas,41.0
Villa Juárez,11.0
Zaragoza,25.0
Villa de Ramos,63.0
San Luis Potosí,3778.0
San Nicolás Tolentino,8.0
San Ciro de Acosta,18.0
Total estatal,248196.0
Santa Catarina,6268.0
Villa de Guadalupe,19.0
Aquismón,30289.0
Matehuala,162.0
Ciudad Valles,12543.0
San Antonio,7471.0
Venado,13.0
Cedral,62.0
Guadalcázar,34.0
Lagunillas,40.0
Villa de la Paz,2.0
Charcas,36.0
Salinas,22.0
San Vicente Tancuayalab,3464.0
Armadillo de los Infante,3.0
Cárdenas,162.0
Alaquines,158.0
Villa de Arista,90.0
Ebano,3277.0
Ahualulco,13.0
Tanlajás,14640.0
Cerro de San Pedro,5.0
Soledad de Graciano Sánchez,1069.0
San Martín Chalchicuautla,9367.0
Catorce,36.0
Ciudad del Maíz,172.0
Tamasopo,3333.0
Coxcatlán,12567.0
Moctezuma,25.0
Tamuín,4576.0
Matlapa,17746.0
Rayón,880.0
Santo Domingo,5.0
Cerritos,52.0
Tierra Nueva,11.0
El Naranjo,133.0
Tampacán,6964.0
Tamazunchale,38226.0
Rioverde,287.0
Villa de Reyes,60.0
Tampamolón Corona,8449.0
Villa de Arriaga,15.0
Villa Hidalgo,19.0
Mexquitic de Carmona,77.0
Tancanhuitz,13131.0
Ciudad Fernández,135.0
