Municipio,Porcentaje de hombres
Santa María del Río,Santa María del Río
Xilitla,Xilitla
Axtla de Terrazas,Axtla de Terrazas
Huehuetlán,Huehuetlán
Tanquián de Escobedo,Tanquián de Escobedo
Vanegas,Vanegas
Villa Juárez,Villa Juárez
Zaragoza,Zaragoza
Villa de Ramos,Villa de Ramos
San Luis Potosí,San Luis Potosí
San Nicolás Tolentino,San Nicolás Tolentino
San Ciro de Acosta,San Ciro de Acosta
Total estatal,Total estatal
Santa Catarina,Santa Catarina
Villa de Guadalupe,Villa de Guadalupe
Aquismón,Aquismón
Matehuala,Matehuala
Ciudad Valles,Ciudad Valles
San Antonio,San Antonio
Venado,Venado
Cedral,Cedral
Guadalcázar,Guadalcázar
Lagunillas,Lagunillas
Villa de la Paz,Villa de la Paz
Charcas,Charcas
Salinas,Salinas
San Vicente Tancuayalab,San Vicente Tancuayalab
Armadillo de los Infante,Armadillo de los Infante
Cárdenas,Cárdenas
Alaquines,Alaquines
Villa de Arista,Villa de Arista
Ebano,Ebano
Ahualulco,Ahualulco
Tanlajás,Tanlajás
Cerro de San Pedro,Cerro de San Pedro
Soledad de Graciano Sánchez,Soledad de Graciano Sánchez
San Martín Chalchicuautla,San Martín Chalchicuautla
Catorce,Catorce
Ciudad del Maíz,Ciudad del Maíz
Tamasopo,Tamasopo
Coxcatlán,Coxcatlán
Moctezuma,Moctezuma
Tamuín,Tamuín
Matlapa,Matlapa
Rayón,Rayón
Santo Domingo,Santo Domingo
Cerritos,Cerritos
Tierra Nueva,Tierra Nueva
El Naranjo,El Naranjo
Tampacán,Tampacán
Tamazunchale,Tamazunchale
Rioverde,Rioverde
Villa de Reyes,Villa de Reyes
Tampamolón Corona,Tampamolón Corona
Villa de Arriaga,Villa de Arriaga
Villa Hidalgo,Villa Hidalgo
Mexquitic de Carmona,Mexquitic de Carmona
Tancanhuitz,Tancanhuitz
Ciudad Fernández,Ciudad Fernández
