Municipio,Defunciones Generales
Bavispe,20.0
Benjamín Hill,37.0
Divisaderos,11.0
Fronteras,47.0
Nacozari de García,93.0
General Plutarco Elías Calles,81.0
Huachinera ,12.0
Magdalena,216.0
Carbó,29.0
Atil,3.0
Ures,94.0
Baviácora,46.0
Bacoachi,13.0
Benito Juárez,180.0
Imuris,94.0
Agua Prieta,468.0
Huatabampo,619.0
Bacanora,5.0
Total estatal,18485.0
Opodepe,18.0
Etchojoa,517.0
Pitiquito,51.0
Sahuaripa,32.0
Quiriego,25.0
Suaqui Grande,12.0
Tepache,10.0
Bácum,164.0
San Miguel de Horcasitas,56.0
Hermosillo,5024.0
Oquitoa,3.0
Bacadéhuachi,12.0
La Colorada,13.0
San Ignacio Río Muerto,80.0
Empalme,489.0
San Felipe de Jesús,6.0
Cucurpe,7.0
Cajeme,3136.0
Navojoa,1107.0
Puerto Peñasco,348.0
Sáric,12.0
Santa Cruz,16.0
San Pedro de la Cueva,12.0
Banámichi,20.0
Arivechi,9.0
Caborca,595.0
Altar,59.0
Guaymas,1173.0
Rosario,49.0
Huásabas,11.0
Tubutama,9.0
Moctezuma,37.0
Soyopa,10.0
Villa Pesqueira ,9.0
San Javier,2.0
Huépac,4.0
Cumpas,53.0
Alamos,169.0
Aconchi ,25.0
Arizpe,22.0
Bacerac,5.0
Rayón,18.0
Nogales,1188.0
San Luis Río Colorado,1275.0
Granados,9.0
Yécora,35.0
Trincheras,18.0
Santa Ana,134.0
Nácori Chico,10.0
Naco,32.0
Villa Hidalgo,11.0
Cananea,244.0
Mazatán,18.0
Onavas,6.0
