Municipio,Nacimientos
Bavispe,21.0
Benjamín Hill,65.0
Divisaderos,10.0
Fronteras,158.0
Nacozari de García,243.0
General Plutarco Elías Calles,206.0
Huachinera ,5.0
Magdalena,509.0
Carbó,92.0
Atil,7.0
Ures,114.0
Baviácora,36.0
Bacoachi,17.0
Benito Juárez,394.0
Imuris,228.0
Agua Prieta,1492.0
Huatabampo,1186.0
Bacanora,10.0
Total estatal,44229.0
Opodepe,20.0
Etchojoa,1028.0
Pitiquito,146.0
Sahuaripa,60.0
Quiriego,53.0
Suaqui Grande,14.0
Tepache,9.0
Bácum,365.0
San Miguel de Horcasitas,217.0
Hermosillo,13314.0
Oquitoa,2.0
Bacadéhuachi,10.0
La Colorada,29.0
San Ignacio Río Muerto,231.0
Empalme,890.0
San Felipe de Jesús,11.0
Cucurpe,13.0
Cajeme,6248.0
Navojoa,2542.0
Puerto Peñasco,1077.0
Sáric,32.0
Santa Cruz,31.0
San Pedro de la Cueva,13.0
Banámichi,29.0
Arivechi,16.0
Caborca,1543.0
Altar,171.0
Guaymas,2480.0
Rosario,93.0
Huásabas,7.0
Tubutama,14.0
Moctezuma,77.0
Soyopa,16.0
Villa Pesqueira ,10.0
San Javier,5.0
Huépac,13.0
Cumpas,53.0
Alamos,354.0
Aconchi ,34.0
Arizpe,40.0
Bacerac,12.0
Rayón,10.0
Nogales,3903.0
San Luis Río Colorado,3025.0
Granados,11.0
Yécora,75.0
Trincheras,20.0
Santa Ana,256.0
Nácori Chico,19.0
Naco,102.0
Villa Hidalgo,9.0
Cananea,654.0
Mazatán,14.0
Onavas,11.0
