Municipio,Población de 5 años y más hablante de lengua indígena
Bavispe,1.0
Benjamín Hill,15.0
Divisaderos,1.0
Fronteras,140.0
Nacozari de García,130.0
General Plutarco Elías Calles,93.0
Huachinera ,1.0
Magdalena,79.0
Carbó,91.0
Atil,4.0
Ures,10.0
Baviácora,1.0
Bacoachi,0.0
Benito Juárez,1036.0
Imuris,170.0
Agua Prieta,440.0
Huatabampo,8153.0
Bacanora,2.0
Total estatal,60310.0
Opodepe,1.0
Etchojoa,9206.0
Pitiquito,264.0
Sahuaripa,16.0
Quiriego,197.0
Suaqui Grande,0.0
Tepache,0.0
Bácum,1962.0
San Miguel de Horcasitas,1593.0
Hermosillo,7403.0
Oquitoa,3.0
Bacadéhuachi,0.0
La Colorada,6.0
San Ignacio Río Muerto,920.0
Empalme,390.0
San Felipe de Jesús,3.0
Cucurpe,2.0
Cajeme,2607.0
Navojoa,7298.0
Puerto Peñasco,920.0
Sáric,13.0
Santa Cruz,10.0
San Pedro de la Cueva,1.0
Banámichi,1.0
Arivechi,5.0
Caborca,1102.0
Altar,48.0
Guaymas,11394.0
Rosario,33.0
Huásabas,0.0
Tubutama,4.0
Moctezuma,7.0
Soyopa,2.0
Villa Pesqueira ,0.0
San Javier,0.0
Huépac,1.0
Cumpas,2.0
Alamos,1264.0
Aconchi ,1.0
Arizpe,0.0
Bacerac,3.0
Rayón,0.0
Nogales,1825.0
San Luis Río Colorado,768.0
Granados,0.0
Yécora,402.0
Trincheras,2.0
Santa Ana,117.0
Nácori Chico,2.0
Naco,54.0
Villa Hidalgo,2.0
Cananea,87.0
Mazatán,1.0
Onavas,1.0
