Municipio,Defunciones Generales
Jiménez,61.0
Mier,27.0
Tampico,1947.0
San Fernando,359.0
Ciudad Madero,1424.0
San Nicolás,10.0
Valle Hermoso,371.0
Matamoros,2615.0
Gustavo Díaz Ordaz,125.0
Nuevo Morelos,22.0
Padilla,105.0
Hidalgo,157.0
Gómez Farías,65.0
Total estatal,19703.0
Jaumave,119.0
Bustamante,45.0
Nuevo Laredo,2295.0
Tula,234.0
Abasolo,55.0
Ocampo,119.0
Méndez,35.0
Soto la Marina,140.0
Llera,126.0
Mainero,15.0
Casas,29.0
El Mante,819.0
Palmillas,10.0
Río Bravo,755.0
Antiguo Morelos,84.0
Reynosa,3400.0
Victoria,1852.0
Aldama,144.0
González,279.0
Altamira,1025.0
Güémez,120.0
Guerrero,23.0
Burgos,30.0
Miquihuana,21.0
Camargo,128.0
Cruillas,23.0
Villagrán,32.0
San Carlos,67.0
Miguel Alemán,180.0
Xicoténcatl,204.0
