Municipio,Densidad de población
Jiménez,3.81823884611005
Mier,6.91835271870913
Tampico,2598.52582964982
San Fernando,7.42980653986387
Ciudad Madero,4251.84025541098
San Nicolás,1.70014176542514
Valle Hermoso,66.7461086954585
Matamoros,116.975694677928
Gustavo Díaz Ordaz,36.2485508178469
Nuevo Morelos,12.5734068405793
Padilla,10.021097421479
Hidalgo,7.96408775376466
Gómez Farías,11.3486156061174
Total estatal,43.9596928997831
Jaumave,6.00517363346327
Bustamante,5.20087188211465
Nuevo Laredo,347.261376877515
Tula,9.17756556894288
Abasolo,5.28383618819731
Ocampo,8.92939580042798
Méndez,1.68962945225911
Soto la Marina,3.52510840661159
Llera,5.70159243591375
Mainero,5.62285030558288
Casas,1.37458604865697
El Mante,64.8318069144789
Palmillas,3.99380398441487
Río Bravo,83.6544812444793
Antiguo Morelos,15.1999784607134
Reynosa,223.953596711194
Victoria,238.928409671115
Aldama,7.52089848803251
González,12.7892716496443
Altamira,162.336524148992
Güémez,12.4298487420338
Guerrero,1.55761056773612
Burgos,2.23407755840987
Miquihuana,4.18373324342533
Camargo,17.7831465048592
Cruillas,0.884386419037425
Villagrán,4.1614605327971
San Carlos,2.54229593771981
Miguel Alemán,41.0675395314319
Xicoténcatl,25.5291218699718
