Municipio,Nacimientos
Jiménez,109.0
Mier,61.0
Tampico,4355.0
San Fernando,931.0
Ciudad Madero,2339.0
San Nicolás,19.0
Valle Hermoso,993.0
Matamoros,8457.0
Gustavo Díaz Ordaz,277.0
Nuevo Morelos,85.0
Padilla,243.0
Hidalgo,282.0
Gómez Farías,128.0
Total estatal,55423.0
Jaumave,304.0
Bustamante,110.0
Nuevo Laredo,6919.0
Tula,604.0
Abasolo,131.0
Ocampo,209.0
Méndez,67.0
Soto la Marina,380.0
Llera,185.0
Mainero,32.0
Casas,88.0
El Mante,1435.0
Palmillas,24.0
Río Bravo,2353.0
Antiguo Morelos,132.0
Reynosa,12573.0
Victoria,5065.0
Aldama,456.0
González,746.0
Altamira,3635.0
Güémez,272.0
Guerrero,32.0
Burgos,59.0
Miquihuana,63.0
Camargo,309.0
Cruillas,25.0
Villagrán,72.0
San Carlos,98.0
Miguel Alemán,415.0
Xicoténcatl,347.0
