Municipio,Población de 5 años y más hablante de lengua indígena
Jiménez,14.0
Mier,7.0
Tampico,2451.0
San Fernando,228.0
Ciudad Madero,1760.0
San Nicolás,0.0
Valle Hermoso,164.0
Matamoros,4195.0
Gustavo Díaz Ordaz,72.0
Nuevo Morelos,40.0
Padilla,21.0
Hidalgo,31.0
Gómez Farías,23.0
Total estatal,23296.0
Jaumave,28.0
Bustamante,8.0
Nuevo Laredo,1970.0
Tula,55.0
Abasolo,38.0
Ocampo,36.0
Méndez,20.0
Soto la Marina,315.0
Llera,80.0
Mainero,13.0
Casas,14.0
El Mante,402.0
Palmillas,0.0
Río Bravo,944.0
Antiguo Morelos,29.0
Reynosa,5905.0
Victoria,781.0
Aldama,251.0
González,283.0
Altamira,2843.0
Güémez,31.0
Guerrero,27.0
Burgos,6.0
Miquihuana,4.0
Camargo,40.0
Cruillas,2.0
Villagrán,5.0
San Carlos,27.0
Miguel Alemán,106.0
Xicoténcatl,27.0
