Municipio,Defunciones Generales
Tetla de la Solidaridad,173.0
Nanacamilpa de Mariano Arista,99.0
Tlaxco,252.0
Mazatecochco de José María Morelos,66.0
Tlaxcala,495.0
Zacatelco,275.0
Huamantla,456.0
San José Teacalco ,23.0
Benito Juárez,27.0
Chiautempan,382.0
Teolocholco,123.0
Cuapiaxtla,74.0
Yauhquemehcan,173.0
Natívitas,160.0
Atlangatepec,30.0
Cuaxomulco,36.0
Calpulalpan,267.0
Acuamanala de Miguel Hidalgo,22.0
Xicohtzinco,86.0
Total estatal,6952.0
Emiliano Zapata,28.0
Amaxac de Guerrero,58.0
Apizaco,459.0
San Lorenzo Axocomanitla,27.0
Atltzayanca,89.0
San Francisco Tetlanohcan,65.0
San Lucas Tecopilco,20.0
Hueyotlipan,85.0
Papalotla de Xicohténcatl,167.0
San Damián Texóloc,29.0
San Jerónimo Zacualpan ,22.0
Terrenate,59.0
Santa Ana Nopalucan,47.0
Santa Cruz Tlaxcala,101.0
Totolac,131.0
Apetatitlán de Antonio Carvajal,76.0
Españita,61.0
Contla de Juan Cuamatzi,193.0
Santa Isabel Xiloxoxtla,23.0
Ziltlaltépec de Trinidad Sánchez Santos,74.0
Muñoz de Domingo Arenas,27.0
Xaloztoc,136.0
Tenancingo,77.0
Lázaro Cárdenas,11.0
Santa Apolonia Teacalco,26.0
Tzompantepec,86.0
Ixtenco,58.0
El Carmen Tequexquitla,94.0
San Juan Huactzinco,35.0
San Pablo del Monte,397.0
Santa Cruz Quilehtla,35.0
Ixtacuixtla de Mariano Matamoros,218.0
Tocatlán,31.0
Xaltocan,59.0
Tepeyanco,70.0
Tetlatlahuca,84.0
Santa Catarina Ayometla,53.0
La Magdalena Tlaltelulco,91.0
Sanctórum de Lázaro Cárdenas,43.0
Tepetitla de Lardizábal,128.0
Panotla,159.0
