Municipio,Edad mediana
Tetla de la Solidaridad,27.0
Nanacamilpa de Mariano Arista,28.0
Tlaxco,26.0
Mazatecochco de José María Morelos,27.0
Tlaxcala,32.0
Zacatelco,28.0
Huamantla,26.0
San José Teacalco ,27.0
Benito Juárez,26.0
Chiautempan,29.0
Teolocholco,27.0
Cuapiaxtla,26.0
Yauhquemehcan,29.0
Natívitas,28.0
Atlangatepec,27.0
Cuaxomulco,28.0
Calpulalpan,27.0
Acuamanala de Miguel Hidalgo,27.0
Xicohtzinco,30.0
Total estatal,28.0
Emiliano Zapata,25.0
Amaxac de Guerrero,30.0
Apizaco,31.0
San Lorenzo Axocomanitla,30.0
Atltzayanca,27.0
San Francisco Tetlanohcan,27.0
San Lucas Tecopilco,30.0
Hueyotlipan,28.0
Papalotla de Xicohténcatl,28.0
San Damián Texóloc,31.0
San Jerónimo Zacualpan ,30.0
Terrenate,25.0
Santa Ana Nopalucan,29.0
Santa Cruz Tlaxcala,28.0
Totolac,30.0
Apetatitlán de Antonio Carvajal,30.0
Españita,27.0
Contla de Juan Cuamatzi,29.0
Santa Isabel Xiloxoxtla,27.0
Ziltlaltépec de Trinidad Sánchez Santos,25.0
Muñoz de Domingo Arenas,28.0
Xaloztoc,26.0
Tenancingo,28.0
Lázaro Cárdenas,26.0
Santa Apolonia Teacalco,28.0
Tzompantepec,28.0
Ixtenco,30.0
El Carmen Tequexquitla,25.0
San Juan Huactzinco,28.0
San Pablo del Monte,25.0
Santa Cruz Quilehtla,25.0
Ixtacuixtla de Mariano Matamoros,29.0
Tocatlán,27.0
Xaltocan,30.0
Tepeyanco,29.0
Tetlatlahuca,30.0
Santa Catarina Ayometla,28.0
La Magdalena Tlaltelulco,27.0
Sanctórum de Lázaro Cárdenas,28.0
Tepetitla de Lardizábal,27.0
Panotla,30.0
