Municipio,Nacimientos
Tetla de la Solidaridad,581.0
Nanacamilpa de Mariano Arista,334.0
Tlaxco,1093.0
Mazatecochco de José María Morelos,231.0
Tlaxcala,1202.0
Zacatelco,844.0
Huamantla,1833.0
San José Teacalco ,102.0
Benito Juárez,148.0
Chiautempan,1221.0
Teolocholco,445.0
Cuapiaxtla,292.0
Yauhquemehcan,501.0
Natívitas,517.0
Atlangatepec,118.0
Cuaxomulco,152.0
Calpulalpan,919.0
Acuamanala de Miguel Hidalgo,146.0
Xicohtzinco,243.0
Total estatal,23779.0
Emiliano Zapata,90.0
Amaxac de Guerrero,126.0
Apizaco,1336.0
San Lorenzo Axocomanitla,101.0
Atltzayanca,352.0
San Francisco Tetlanohcan,221.0
San Lucas Tecopilco,62.0
Hueyotlipan,265.0
Papalotla de Xicohténcatl,620.0
San Damián Texóloc,99.0
San Jerónimo Zacualpan ,97.0
Terrenate,384.0
Santa Ana Nopalucan,136.0
Santa Cruz Tlaxcala,329.0
Totolac,312.0
Apetatitlán de Antonio Carvajal,197.0
Españita,203.0
Contla de Juan Cuamatzi,643.0
Santa Isabel Xiloxoxtla,60.0
Ziltlaltépec de Trinidad Sánchez Santos,183.0
Muñoz de Domingo Arenas,90.0
Xaloztoc,484.0
Tenancingo,314.0
Lázaro Cárdenas,61.0
Santa Apolonia Teacalco,106.0
Tzompantepec,264.0
Ixtenco,132.0
El Carmen Tequexquitla,332.0
San Juan Huactzinco,166.0
San Pablo del Monte,1876.0
Santa Cruz Quilehtla,158.0
Ixtacuixtla de Mariano Matamoros,674.0
Tocatlán,130.0
Xaltocan,228.0
Tepeyanco,223.0
Tetlatlahuca,256.0
Santa Catarina Ayometla,177.0
La Magdalena Tlaltelulco,405.0
Sanctórum de Lázaro Cárdenas,164.0
Tepetitla de Lardizábal,371.0
Panotla,430.0
