Municipio,Población de 5 años y más hablante de lengua indígena
Tetla de la Solidaridad,150.0
Nanacamilpa de Mariano Arista,42.0
Tlaxco,92.0
Mazatecochco de José María Morelos,742.0
Tlaxcala,1184.0
Zacatelco,187.0
Huamantla,275.0
San José Teacalco ,49.0
Benito Juárez,5.0
Chiautempan,1703.0
Teolocholco,853.0
Cuapiaxtla,18.0
Yauhquemehcan,187.0
Natívitas,81.0
Atlangatepec,27.0
Cuaxomulco,51.0
Calpulalpan,135.0
Acuamanala de Miguel Hidalgo,129.0
Xicohtzinco,78.0
Total estatal,27653.0
Emiliano Zapata,3.0
Amaxac de Guerrero,173.0
Apizaco,564.0
San Lorenzo Axocomanitla,23.0
Atltzayanca,17.0
San Francisco Tetlanohcan,1315.0
San Lucas Tecopilco,5.0
Hueyotlipan,22.0
Papalotla de Xicohténcatl,589.0
San Damián Texóloc,11.0
San Jerónimo Zacualpan ,17.0
Terrenate,57.0
Santa Ana Nopalucan,44.0
Santa Cruz Tlaxcala,479.0
Totolac,278.0
Apetatitlán de Antonio Carvajal,155.0
Españita,34.0
Contla de Juan Cuamatzi,5108.0
Santa Isabel Xiloxoxtla,53.0
Ziltlaltépec de Trinidad Sánchez Santos,30.0
Muñoz de Domingo Arenas,6.0
Xaloztoc,88.0
Tenancingo,471.0
Lázaro Cárdenas,5.0
Santa Apolonia Teacalco,19.0
Tzompantepec,107.0
Ixtenco,432.0
El Carmen Tequexquitla,55.0
San Juan Huactzinco,91.0
San Pablo del Monte,9764.0
Santa Cruz Quilehtla,203.0
Ixtacuixtla de Mariano Matamoros,146.0
Tocatlán,14.0
Xaltocan,32.0
Tepeyanco,140.0
Tetlatlahuca,27.0
Santa Catarina Ayometla,122.0
La Magdalena Tlaltelulco,559.0
Sanctórum de Lázaro Cárdenas,35.0
Tepetitla de Lardizábal,109.0
Panotla,263.0
