Municipio,Defunciones Generales
Tlaltenango de Sánchez Román,188.0
Teúl de González Ortega,52.0
Concepción del Oro,82.0
Tabasco,88.0
Sombrerete,452.0
Vetagrande,56.0
Jiménez del Teul,31.0
Ojocaliente,253.0
Benito Juárez,28.0
Tepechitlán,61.0
Chalchihuites,74.0
Miguel Auza,145.0
Momax ,25.0
Calera,245.0
Villanueva,229.0
Moyahua de Estrada,48.0
El Salvador,20.0
Total estatal,9990.0
Apozol,65.0
Luis Moya,100.0
General Pánfilo Natera,152.0
Monte Escobedo,96.0
Zacatecas,846.0
Melchor Ocampo,16.0
Susticacán ,11.0
General Francisco R. Murguía,163.0
Atolinga,29.0
Fresnillo,1466.0
Mazapil,111.0
Juan Aldama,143.0
Villa González Ortega,96.0
Jerez,473.0
Nochistlán de Mejía,235.0
Cañitas de Felipe Pescador,57.0
Santa María de la Paz,24.0
Trancoso,90.0
Trinidad García de la Cadena,17.0
Genaro Codina,39.0
El Plateado de Joaquín Amaro,20.0
Jalpa,190.0
Loreto,277.0
Pánuco,98.0
Villa de Cos,232.0
Noria de Ángeles,92.0
Morelos,76.0
Villa García,92.0
Huanusco,31.0
Tepetongo,97.0
Sain Alto,150.0
Mezquital del Oro,22.0
Juchipila,143.0
Apulco,28.0
General Enrique Estrada,37.0
Guadalupe,836.0
Pinos,364.0
Río Grande,436.0
Cuauhtémoc,80.0
Villa Hidalgo,105.0
Valparaíso,272.0
