Municipio,Edad mediana
Tlaltenango de Sánchez Román,29.0
Teúl de González Ortega,31.0
Concepción del Oro,31.0
Tabasco,28.0
Sombrerete,28.0
Vetagrande,26.0
Jiménez del Teul,26.0
Ojocaliente,25.0
Benito Juárez,28.0
Tepechitlán,31.0
Chalchihuites,30.0
Miguel Auza,25.0
Momax ,34.0
Calera,25.0
Villanueva,31.0
Moyahua de Estrada,35.0
El Salvador,35.0
Total estatal,28.0
Apozol,32.0
Luis Moya,26.0
General Pánfilo Natera,26.0
Monte Escobedo,34.0
Zacatecas,30.0
Melchor Ocampo,29.0
Susticacán ,32.0
General Francisco R. Murguía,30.0
Atolinga,35.0
Fresnillo,27.0
Mazapil,28.0
Juan Aldama,29.0
Villa González Ortega,26.0
Jerez,31.0
Nochistlán de Mejía,32.0
Cañitas de Felipe Pescador,29.0
Santa María de la Paz,34.0
Trancoso,24.0
Trinidad García de la Cadena,33.0
Genaro Codina,25.0
El Plateado de Joaquín Amaro,38.0
Jalpa,28.0
Loreto,25.0
Pánuco,26.0
Villa de Cos,28.0
Noria de Ángeles,25.0
Morelos,28.0
Villa García,26.0
Huanusco,33.0
Tepetongo,39.0
Sain Alto,26.0
Mezquital del Oro,33.0
Juchipila,33.0
Apulco,29.0
General Enrique Estrada,27.0
Guadalupe,27.0
Pinos,26.0
Río Grande,29.0
Cuauhtémoc,25.0
Villa Hidalgo,25.0
Valparaíso,30.0
