Municipio,Nacimientos
Tlaltenango de Sánchez Román,494.0
Teúl de González Ortega,108.0
Concepción del Oro,202.0
Tabasco,191.0
Sombrerete,1184.0
Vetagrande,186.0
Jiménez del Teul,90.0
Ojocaliente,898.0
Benito Juárez,102.0
Tepechitlán,145.0
Chalchihuites,181.0
Miguel Auza,600.0
Momax ,69.0
Calera,964.0
Villanueva,569.0
Moyahua de Estrada,86.0
El Salvador,51.0
Total estatal,31437.0
Apozol,113.0
Luis Moya,278.0
General Pánfilo Natera,504.0
Monte Escobedo,144.0
Zacatecas,2224.0
Melchor Ocampo,70.0
Susticacán ,30.0
General Francisco R. Murguía,387.0
Atolinga,58.0
Fresnillo,4903.0
Mazapil,388.0
Juan Aldama,391.0
Villa González Ortega,294.0
Jerez,1203.0
Nochistlán de Mejía,533.0
Cañitas de Felipe Pescador,231.0
Santa María de la Paz,37.0
Trancoso,421.0
Trinidad García de la Cadena,79.0
Genaro Codina,188.0
El Plateado de Joaquín Amaro,38.0
Jalpa,518.0
Loreto,1158.0
Pánuco,377.0
Villa de Cos,727.0
Noria de Ángeles,341.0
Morelos,264.0
Villa García,332.0
Huanusco,85.0
Tepetongo,106.0
Sain Alto,449.0
Mezquital del Oro,46.0
Juchipila,212.0
Apulco,91.0
General Enrique Estrada,161.0
Guadalupe,4010.0
Pinos,1493.0
Río Grande,1074.0
Cuauhtémoc,295.0
Villa Hidalgo,462.0
Valparaíso,588.0
