Municipio,Población de 5 años y más hablante de lengua indígena
Tlaltenango de Sánchez Román,362.0
Teúl de González Ortega,5.0
Concepción del Oro,9.0
Tabasco,46.0
Sombrerete,62.0
Vetagrande,11.0
Jiménez del Teul,1.0
Ojocaliente,34.0
Benito Juárez,6.0
Tepechitlán,24.0
Chalchihuites,8.0
Miguel Auza,20.0
Momax ,0.0
Calera,90.0
Villanueva,34.0
Moyahua de Estrada,8.0
El Salvador,1.0
Total estatal,4924.0
Apozol,5.0
Luis Moya,25.0
General Pánfilo Natera,48.0
Monte Escobedo,25.0
Zacatecas,520.0
Melchor Ocampo,0.0
Susticacán ,1.0
General Francisco R. Murguía,11.0
Atolinga,5.0
Fresnillo,1142.0
Mazapil,11.0
Juan Aldama,50.0
Villa González Ortega,17.0
Jerez,141.0
Nochistlán de Mejía,57.0
Cañitas de Felipe Pescador,10.0
Santa María de la Paz,3.0
Trancoso,23.0
Trinidad García de la Cadena,14.0
Genaro Codina,1.0
El Plateado de Joaquín Amaro,1.0
Jalpa,41.0
Loreto,104.0
Pánuco,180.0
Villa de Cos,116.0
Noria de Ángeles,7.0
Morelos,34.0
Villa García,14.0
Huanusco,1.0
Tepetongo,16.0
Sain Alto,15.0
Mezquital del Oro,8.0
Juchipila,17.0
Apulco,1.0
General Enrique Estrada,50.0
Guadalupe,597.0
Pinos,46.0
Río Grande,102.0
Cuauhtémoc,16.0
Villa Hidalgo,10.0
Valparaíso,718.0
